# Start coordinate are with the genome as reference (not MSA).
# Count starts from zero (first position = 1).
seqID	seqName	start	length
0	S1	43	1
0	S1	150	1
1	S2	43	1
1	S2	150	1
2	S3	43	1
2	S3	150	1
3	S4	43	1
3	S4	150	1
4	S5	43	1
4	S5	114	2
4	S5	117	2
4	S5	146	1
4	S5	148	1
5	S6	43	1
5	S6	150	1
5	S6	153	9
6	S7	43	1
6	S7	150	1
6	S7	152	1
7	S8	43	1
7	S8	150	1
7	S8	152	1
8	S9	43	1
8	S9	150	1
8	S9	152	1
9	S10	43	1
9	S10	150	1
9	S10	152	1
10	S11	43	1
10	S11	150	1
10	S11	152	1
11	S12	43	1
11	S12	150	1
11	S12	152	1
12	S13	43	1
12	S13	150	1
12	S13	152	1
13	S14	43	1
13	S14	150	1
13	S14	152	1
14	S15	43	1
14	S15	150	1
14	S15	152	1
15	S16	43	1
15	S16	150	1
15	S16	152	1
16	S17	43	1
16	S17	150	1
16	S17	152	1
17	S18	43	1
17	S18	150	1
17	S18	152	1
18	S19	43	1
18	S19	150	1
18	S19	152	1
19	S20	43	1
19	S20	150	1
19	S20	152	1
20	S21	43	1
20	S21	150	1
20	S21	152	1
21	S22	43	1
21	S22	150	1
21	S22	152	1
22	S23	43	1
22	S23	150	1
22	S23	152	1
23	S24	43	1
23	S24	150	1
23	S24	152	1
24	S25	43	1
24	S25	150	1
24	S25	152	1
25	S26	43	1
25	S26	150	1
25	S26	152	1
26	S27	43	1
26	S27	150	1
26	S27	152	1
27	S28	43	1
27	S28	150	1
27	S28	152	1
28	S29	116	4
28	S29	147	1
28	S29	150	1
29	S30	116	4
29	S30	144	1
29	S30	146	1
30	S31	117	2
30	S31	149	1
31	S32	117	2
31	S32	149	1
32	S33	117	2
32	S33	118	1
32	S33	148	1
33	S34	117	2
33	S34	118	2
33	S34	147	1
34	S35	117	2
34	S35	118	2
34	S35	147	1
35	S36	43	1
35	S36	114	4
35	S36	149	1
36	S37	43	1
36	S37	116	5
36	S37	138	15
37	S38	43	1
37	S38	116	5
37	S38	138	15
38	S39	43	1
38	S39	116	5
38	S39	138	15
39	S40	43	1
39	S40	116	5
39	S40	138	15
40	S41	43	1
40	S41	116	5
40	S41	138	15
41	S42	43	1
41	S42	116	5
41	S42	138	15
42	S43	43	1
42	S43	116	5
42	S43	138	15
43	S44	43	1
43	S44	116	5
43	S44	138	15
44	S45	43	1
44	S45	116	5
44	S45	138	15
45	S46	43	1
45	S46	116	5
45	S46	138	15
46	S47	43	1
46	S47	116	5
46	S47	138	15
47	S48	43	1
47	S48	116	5
47	S48	138	15
48	S49	43	1
48	S49	116	5
48	S49	138	15
49	S50	43	1
49	S50	116	5
49	S50	138	15
50	S51	43	1
50	S51	116	5
50	S51	138	15
51	S52	43	1
51	S52	116	5
51	S52	138	15
52	S53	43	1
52	S53	116	5
52	S53	138	15
53	S54	43	1
53	S54	116	5
53	S54	139	14
54	S55	43	1
54	S55	116	5
54	S55	139	14
55	S56	43	1
55	S56	116	5
55	S56	139	14
56	S57	43	1
56	S57	116	5
56	S57	139	14
57	S58	43	1
57	S58	116	5
57	S58	139	14
58	S59	43	1
58	S59	116	5
58	S59	139	14
59	S60	43	1
59	S60	116	5
59	S60	139	14
60	S61	43	1
60	S61	150	1
60	S61	152	2
