# Start coordinate are with the genome as reference (not MSA).
# Count starts from zero (first position = 1).
seqID	seqName	start	length
0	S1	43	1
0	S1	168	1
1	S2	43	1
1	S2	168	1
2	S3	43	1
2	S3	168	1
3	S4	43	1
3	S4	168	1
4	S5	43	1
4	S5	114	4
4	S5	148	1
4	S5	163	1
5	S6	43	1
5	S6	152	1
5	S6	167	1
6	S7	43	1
6	S7	152	1
6	S7	167	1
7	S8	43	1
7	S8	152	1
7	S8	167	1
8	S9	43	1
8	S9	152	1
8	S9	167	1
9	S10	43	1
9	S10	152	1
9	S10	167	1
10	S11	43	1
10	S11	152	1
10	S11	167	1
11	S12	43	1
11	S12	152	1
11	S12	167	1
12	S13	43	1
12	S13	152	1
12	S13	167	1
13	S14	43	1
13	S14	152	1
13	S14	167	1
14	S15	43	1
14	S15	152	1
14	S15	167	1
15	S16	43	1
15	S16	152	1
15	S16	167	1
16	S17	43	1
16	S17	152	1
16	S17	167	1
17	S18	43	1
17	S18	152	1
17	S18	167	1
18	S19	43	1
18	S19	152	1
18	S19	167	1
19	S20	43	1
19	S20	152	1
19	S20	167	1
20	S21	43	1
20	S21	152	1
20	S21	167	1
21	S22	43	1
21	S22	152	1
21	S22	167	1
22	S23	43	1
22	S23	152	1
22	S23	167	1
23	S24	43	1
23	S24	152	1
23	S24	167	1
24	S25	43	1
24	S25	152	1
24	S25	167	1
25	S26	43	1
25	S26	152	1
25	S26	167	1
26	S27	43	1
26	S27	152	1
26	S27	167	1
27	S28	43	1
27	S28	152	1
27	S28	153	8
27	S28	159	1
28	S29	118	4
28	S29	149	1
28	S29	164	1
29	S30	118	4
29	S30	149	1
29	S30	164	1
30	S31	119	2
30	S31	167	1
31	S32	119	2
31	S32	167	1
32	S33	118	3
32	S33	166	1
33	S34	118	4
33	S34	165	1
34	S35	118	4
34	S35	165	1
35	S36	118	4
35	S36	149	1
36	S37	43	1
36	S37	117	4
36	S37	164	1
37	S38	43	1
37	S38	116	5
37	S38	135	13
37	S38	138	1
37	S38	149	1
38	S39	43	1
38	S39	116	5
38	S39	135	13
38	S39	138	1
38	S39	149	1
39	S40	43	1
39	S40	116	5
39	S40	135	13
39	S40	138	1
39	S40	149	1
40	S41	43	1
40	S41	116	5
40	S41	135	13
40	S41	138	1
40	S41	149	1
41	S42	43	1
41	S42	116	5
41	S42	135	13
41	S42	138	1
41	S42	149	1
42	S43	43	1
42	S43	116	5
42	S43	135	13
42	S43	138	1
42	S43	149	1
43	S44	43	1
43	S44	116	5
43	S44	135	13
43	S44	138	1
43	S44	149	1
44	S45	43	1
44	S45	116	5
44	S45	135	13
44	S45	138	1
44	S45	149	1
45	S46	43	1
45	S46	116	5
45	S46	135	13
45	S46	138	1
45	S46	149	1
46	S47	43	1
46	S47	116	5
46	S47	135	13
46	S47	138	1
46	S47	149	1
47	S48	43	1
47	S48	116	5
47	S48	135	13
47	S48	138	1
47	S48	149	1
48	S49	43	1
48	S49	116	5
48	S49	135	13
48	S49	138	1
48	S49	149	1
49	S50	43	1
49	S50	116	5
49	S50	135	13
49	S50	138	1
49	S50	149	1
50	S51	43	1
50	S51	116	5
50	S51	135	13
50	S51	138	1
50	S51	149	1
51	S52	43	1
51	S52	116	5
51	S52	135	13
51	S52	138	1
51	S52	149	1
52	S53	43	1
52	S53	116	5
52	S53	135	13
52	S53	138	1
52	S53	149	1
53	S54	43	1
53	S54	116	5
53	S54	135	13
53	S54	138	1
53	S54	149	1
54	S55	43	1
54	S55	116	5
54	S55	135	13
54	S55	150	1
55	S56	43	1
55	S56	116	5
55	S56	135	13
55	S56	150	1
56	S57	43	1
56	S57	116	5
56	S57	135	13
56	S57	150	1
57	S58	43	1
57	S58	116	5
57	S58	135	13
57	S58	150	1
58	S59	43	1
58	S59	116	5
58	S59	135	13
58	S59	150	1
59	S60	43	1
59	S60	116	5
59	S60	135	13
59	S60	150	1
60	S61	43	1
60	S61	116	5
60	S61	135	13
60	S61	150	1
61	S62	43	1
61	S62	151	2
61	S62	166	1
