Pos	Node	Prob_Of_Indel
43	N1	0.2485
43	N10	0.9883
43	N11	0.9998
43	N12	1
43	N13	1
43	N14	1
43	N15	1
43	N16	1
43	N17	1
43	N18	1
43	N19	1
43	N2	0.009918
43	N20	1
43	N21	1
43	N22	1
43	N23	1
43	N24	1
43	N25	1
43	N26	1
43	N27	1
43	N28	1
43	N29	1
43	N3	0.009914
43	N30	1
43	N31	1
43	N32	1
43	N33	1
43	N34	1
43	N35	1
43	N36	1
43	N37	1
43	N38	1
43	N39	1
43	N4	0.0003345
43	N40	1
43	N41	1
43	N42	1
43	N43	1
43	N44	1
43	N45	1
43	N46	1
43	N47	1
43	N48	1
43	N49	1
43	N5	2.767e-05
43	N50	1
43	N51	1
43	N52	1
43	N53	1
43	N54	1
43	N55	1
43	N56	1
43	N57	1
43	N58	1
43	N59	1
43	N6	7.717e-05
43	N60	1
43	N61	1
43	N7	2.213e-08
43	N8	2.328e-08
43	N9	0.002528
115	N1	0.09883
115	N10	0.0003333
115	N11	9.466e-05
115	N12	2.525e-06
115	N13	1.769e-06
115	N14	1.001e-06
115	N15	1.894e-06
115	N16	9.432e-07
115	N17	4.114e-06
115	N18	3.289e-06
115	N19	4.361e-07
115	N2	5.865e-05
115	N20	1.957e-08
115	N21	7.309e-07
115	N22	2.456e-07
115	N23	2.051e-07
115	N24	2.205e-07
115	N25	2.044e-13
115	N26	5.519e-06
115	N27	1.602e-06
115	N28	9.83e-06
115	N29	6.187e-08
115	N3	5.865e-05
115	N30	9.273e-14
115	N31	1.669e-08
115	N32	2.487e-06
115	N33	2.141e-05
115	N34	2.638e-06
115	N35	2.338e-05
115	N36	3.404e-05
115	N37	1.037e-07
115	N38	2.943e-09
115	N39	2.893e-08
115	N4	1.711e-05
115	N40	7.111e-07
115	N41	3.755e-09
115	N42	4.673e-14
115	N43	5.534e-17
115	N44	2.471e-14
115	N45	2.475e-14
115	N46	4.41e-20
115	N47	2.475e-14
115	N48	3e-14
115	N49	3.854e-17
115	N5	5.102e-05
115	N50	2.264e-17
115	N51	7.482e-14
115	N52	8.426e-17
115	N53	4.968e-14
115	N54	2.485e-14
115	N55	5.145e-12
115	N56	5.203e-15
115	N57	8.618e-05
115	N58	7.21e-05
115	N59	5.645e-05
115	N6	2.314e-05
115	N60	0.0002878
115	N61	0.004168
115	N7	6.386e-08
115	N8	8.85e-08
115	N9	0.0001854
116	N1	0.09883
116	N10	0.0003333
116	N11	9.466e-05
116	N12	2.525e-06
116	N13	1.769e-06
116	N14	1.001e-06
116	N15	1.894e-06
116	N16	9.432e-07
116	N17	4.114e-06
116	N18	3.289e-06
116	N19	4.361e-07
116	N2	5.865e-05
116	N20	1.957e-08
116	N21	7.309e-07
116	N22	2.456e-07
116	N23	2.051e-07
116	N24	2.205e-07
116	N25	2.044e-13
116	N26	5.519e-06
116	N27	1.602e-06
116	N28	9.83e-06
116	N29	6.187e-08
116	N3	5.865e-05
116	N30	9.273e-14
116	N31	1.669e-08
116	N32	2.487e-06
116	N33	2.141e-05
116	N34	2.638e-06
116	N35	2.338e-05
116	N36	3.404e-05
116	N37	1.037e-07
116	N38	2.943e-09
116	N39	2.893e-08
116	N4	1.711e-05
116	N40	7.111e-07
116	N41	3.755e-09
116	N42	4.673e-14
116	N43	5.534e-17
116	N44	2.471e-14
116	N45	2.475e-14
116	N46	4.41e-20
116	N47	2.475e-14
116	N48	3e-14
116	N49	3.854e-17
116	N5	5.102e-05
116	N50	2.264e-17
116	N51	7.482e-14
116	N52	8.426e-17
116	N53	4.968e-14
116	N54	2.485e-14
116	N55	5.145e-12
116	N56	5.203e-15
116	N57	8.618e-05
116	N58	7.21e-05
116	N59	5.645e-05
116	N6	2.314e-05
116	N60	0.0002878
116	N61	0.004168
116	N7	6.386e-08
116	N8	8.85e-08
116	N9	0.0001854
117	N1	0.09883
117	N10	0.002174
117	N11	0.004987
117	N12	1
117	N13	1
117	N14	1
117	N15	1
117	N16	1
117	N17	1
117	N18	1
117	N19	1
117	N2	7.914e-05
117	N20	1
117	N21	1
117	N22	1
117	N23	1
117	N24	1
117	N25	1
117	N26	1
117	N27	1
117	N28	1
117	N29	1
117	N3	7.914e-05
117	N30	1
117	N31	1
117	N32	1
117	N33	1
117	N34	1
