Pos	Node	Gap
43	N1	1
43	N10	1
43	N11	1
43	N12	1
43	N13	1
43	N14	1
43	N15	1
43	N16	1
43	N17	1
43	N18	1
43	N19	1
43	N2	1
43	N20	1
43	N21	1
43	N22	1
43	N23	1
43	N24	1
43	N25	1
43	N26	1
43	N27	1
43	N28	1
43	N29	1
43	N3	0
43	N30	1
43	N31	1
43	N32	1
43	N33	1
43	N34	1
43	N35	1
43	N36	1
43	N37	1
43	N38	1
43	N39	1
43	N4	0
43	N40	1
43	N41	1
43	N42	1
43	N43	1
43	N44	1
43	N45	1
43	N46	1
43	N47	1
43	N48	1
43	N49	1
43	N5	0
43	N50	1
43	N51	1
43	N52	1
43	N53	1
43	N54	1
43	N55	1
43	N56	1
43	N57	1
43	N58	1
43	N59	1
43	N6	0
43	N60	1
43	N61	1
43	N7	0
43	N8	0
43	N9	0
115	N1	0
115	N10	0
115	N11	0
115	N12	0
115	N13	0
115	N14	0
115	N15	0
115	N16	0
115	N17	0
115	N18	0
115	N19	0
115	N2	0
115	N20	0
115	N21	0
115	N22	0
115	N23	0
115	N24	0
115	N25	0
115	N26	0
115	N27	0
115	N28	0
115	N29	0
115	N3	0
115	N30	0
115	N31	0
115	N32	0
115	N33	0
115	N34	0
115	N35	0
115	N36	0
115	N37	0
115	N38	0
115	N39	0
115	N4	0
115	N40	0
115	N41	0
115	N42	0
115	N43	0
115	N44	0
115	N45	0
115	N46	0
115	N47	0
115	N48	0
115	N49	0
115	N5	0
115	N50	0
115	N51	0
115	N52	0
115	N53	0
115	N54	0
115	N55	0
115	N56	0
115	N57	0
115	N58	0
115	N59	0
115	N6	0
115	N60	0
115	N61	0
115	N7	0
115	N8	0
115	N9	0
116	N1	0
116	N10	0
116	N11	0
116	N12	0
116	N13	0
116	N14	0
116	N15	0
116	N16	0
116	N17	0
116	N18	0
116	N19	0
116	N2	0
116	N20	0
116	N21	0
116	N22	0
116	N23	0
116	N24	0
116	N25	0
116	N26	0
116	N27	0
116	N28	0
116	N29	0
116	N3	0
116	N30	0
116	N31	0
116	N32	0
116	N33	0
116	N34	0
116	N35	0
116	N36	0
116	N37	0
116	N38	0
116	N39	0
116	N4	0
116	N40	0
116	N41	0
116	N42	0
116	N43	0
116	N44	0
116	N45	0
116	N46	0
116	N47	0
116	N48	0
116	N49	0
116	N5	0
116	N50	0
116	N51	0
116	N52	0
116	N53	0
116	N54	0
116	N55	0
116	N56	0
116	N57	0
116	N58	0
116	N59	0
116	N6	0
116	N60	0
116	N61	0
116	N7	0
116	N8	0
116	N9	0
117	N1	0
117	N10	0
117	N11	0
117	N12	1
117	N13	1
117	N14	1
117	N15	1
117	N16	1
117	N17	1
117	N18	1
117	N19	1
117	N2	0
117	N20	1
117	N21	1
117	N22	1
117	N23	1
117	N24	1
117	N25	1
117	N26	1
117	N27	1
117	N28	1
117	N29	1
117	N3	0
117	N30	1
117	N31	1
117	N32	1
117	N33	1
117	N34	1
117	N35	0
117	N36	0
117	N37	0
117	N38	0
117	N39	0
117	N4	0
117	N40	0
117	N41	0
117	N42	0
117	N43	0
117	N44	0
117	N45	0
117	N46	0
117	N47	0
117	N48	0
117	N49	0
117	N5	0
117	N50	0
117	N51	0
117	N52	0
117	N53	0
117	N54	0
117	N55	0
117	N56	0
117	N57	0
117	N58	0
117	N59	0
117	N6	0
117	N60	0
117	N61	0
117	N7	0
117	N8	0
117	N9	0
118	N1	1
118	N10	1
118	N11	0
118	N12	1
118	N13	1
118	N14	1
118	N15	1
118	N16	1
118	N17	1
118	N18	1
118	N19	1
118	N2	1
118	N20	1
118	N21	1
118	N22	1
118	N23	1
118	N24	1
118	N25	1
118	N26	1
118	N27	1
118	N28	1
118	N29	1
118	N3	1
118	N30	1
118	N31	1
118	N32	1
118	N33	1
118	N34	1
118	N35	0
118	N36	0
118	N37	0
118	N38	0
118	N39	0
118	N4	1
118	N40	0
118	N41	0
118	N42	0
118	N43	0
118	N44	0
118	N45	0
118	N46	0
118	N47	0
118	N48	0
118	N49	0
118	N5	1
118	N50	0
118	N51	0
118	N52	0
118	N53	0
118	N54	0
118	N55	0
118	N56	0
118	N57	0
118	N58	0
118	N59	0
118	N6	1
118	N60	0
118	N61	0
118	N7	0
118	N8	0
118	N9	1
119	N1	1
119	N10	1
119	N11	0
119	N12	1
119	N13	1
119	N14	1
119	N15	1
119	N16	1
119	N17	1
119	N18	1
119	N19	1
119	N2	1
119	N20	1
119	N21	1
119	N22	1
119	N23	1
119	N24	1
119	N25	1
119	N26	1
119	N27	1
119	N28	1
119	N29	1
119	N3	1
119	N30	1
119	N31	1
119	N32	1
119	N33	1
119	N34	1
119	N35	0
119	N36	0
119	N37	0
119	N38	0
119	N39	0
119	N4	1
119	N40	0
119	N41	0
119	N42	0
119	N43	0
119	N44	0
119	N45	0
119	N46	0
119	N47	0
119	N48	0
119	N49	0
119	N5	1
119	N50	0
119	N51	0
119	N52	0
119	N53	0
119	N54	0
119	N55	0
119	N56	0
119	N57	0
119	N58	0
119	N59	0
119	N6	1
119	N60	0
119	N61	0
119	N7	1
119	N8	1
119	N9	1
120	N1	1
120	N10	1
