# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.4623	0.4623	0.01196	2	0.09955	0.1069
loss	1	N2	0.4623	0.4623	0.01196	2	0.276	0.2882
gain	1	N9	0.01471	0.477	0.02209	1	0.96	0.9601
gain	1	S61	0.4623	0.4623	0	0	0.8217	0.879
loss	1	S61	0.4623	0.4623	0	0	0.08615	0.09174
gain	2	N2	0.4623	0.4623	0.01196	2	0.2773	0.331
loss	2	N2	0.4623	0.4623	0.01196	2	0.3227	0.3924
gain	2	S5	0.01326	0.5174	0	0	0.9968	0.9972
gain	2	S61	0.4623	0.4623	0	0	0.2771	0.3307
loss	2	S61	0.4623	0.4623	0	0	0.3227	0.3924
gain	3	N2	0.4623	0.4623	0.01196	2	0.2664	0.3173
loss	3	N2	0.4623	0.4623	0.01196	2	0.3108	0.3764
gain	3	S36	0.03741	0.5144	0	0	0.9728	0.9758
gain	3	S61	0.4623	0.4623	0	0	0.2653	0.3156
loss	3	S61	0.4623	0.4623	0	0	0.3109	0.3766
gain	4	N2	0.4623	0.4623	0.01196	2	0.2691	0.3211
loss	4	N2	0.4623	0.4623	0.01196	2	0.3123	0.3784
gain	4	N6	0.009603	0.4785	0.006031	1	0.9691	0.9693
gain	4	S61	0.4623	0.4623	0	0	0.2669	0.3176
loss	4	S61	0.4623	0.4623	0	0	0.3124	0.3787
gain	5	N2	0.4623	0.4623	0.01196	2	0.9356	1.172
loss	5	N2	0.4623	0.4623	0.01196	2	0.2476	0.2928
loss	5	N6	0.009603	0.4785	0.006031	1	0.09895	0.09897
loss	5	S30	0.006727	0.4852	0	0	0.06154	0.06155
loss	5	S29	0.006031	0.4845	0	0	0.05545	0.05546
loss	5	N9	0.01471	0.477	0.02209	1	0.6455	0.6458
loss	5	S36	0.03741	0.5144	0	0	0.1149	0.1153
loss	5	N10	0.008677	0.4857	0.01341	2	0.3383	0.3383
gain	5	S61	0.4623	0.4623	0	0	0.2474	0.2925
loss	5	S61	0.4623	0.4623	0	0	0.3481	0.4093
gain	6	N2	0.4623	0.4623	0.01196	2	0.1583	0.1805
loss	6	N2	0.4623	0.4623	0.01196	2	0.2024	0.2327
gain	6	N12	0.03021	0.5172	0.002339	1	0.9975	0.9985
gain	6	S61	0.4623	0.4623	0	0	0.1582	0.1803
loss	6	S61	0.4623	0.4623	0	0	0.2024	0.2327
gain	7	N2	0.4623	0.4623	0.01196	2	0.2966	0.3561
loss	7	N2	0.4623	0.4623	0.01196	2	0.3403	0.4162
gain	7	S33	0.000588	0.4766	0	0	0.9878	0.9878
gain	7	S61	0.4623	0.4623	0	0	0.2949	0.3535
loss	7	S61	0.4623	0.4623	0	0	0.3404	0.4164
gain	8	N2	0.4623	0.4623	0.01196	2	0.8749	1.227
loss	8	N2	0.4623	0.4623	0.01196	2	0.4081	0.5013
gain	8	S34	0.00818	0.4742	0	0	0.2067	0.2067
loss	8	N5	0.002834	0.4689	0.007351	2	0.5815	0.5815
loss	8	N6	0.009603	0.4785	0.006031	1	0.2009	0.201
loss	8	N7	0.006969	0.4759	0.0003819	1	0.2129	0.213
gain	8	S35	0.01923	0.4815	0	0	0.2062	0.2065
loss	8	N9	0.01471	0.477	0.02209	1	0.6394	0.6399
loss	8	S36	0.03741	0.5144	0	0	0.1702	0.1711
loss	8	N10	0.008677	0.4857	0.01341	2	0.1488	0.1489
gain	8	S5	0.01326	0.5174	0	0	0.9946	0.9952
gain	8	S61	0.4623	0.4623	0	0	0.3991	0.4874
loss	8	S61	0.4623	0.4623	0	0	0.4458	0.5589
gain	9	N2	0.4623	0.4623	0.01196	2	0.3203	0.3849
loss	9	N2	0.4623	0.4623	0.01196	2	0.3668	0.4502
gain	9	N12	0.03021	0.5172	0.002339	1	0.2882	0.2891
loss	9	S60	0.002339	0.5195	0	0	0.2856	0.2856
gain	9	N13	0.0006796	0.5179	0.006089	2	0.2627	0.2627
loss	9	N15	0.001071	0.5215	0.002434	1	0.5148	0.5148
gain	9	N20	0.002722	0.5232	0.004046	1	0.4485	0.4485
gain	9	N26	0.005924	0.5238	0.007112	1	0.4514	0.4514
gain	9	S61	0.4623	0.4623	0	0	0.3201	0.3845
loss	9	S61	0.4623	0.4623	0	0	0.3668	0.4502
gain	10	N2	0.4623	0.4623	0.01196	2	0.2554	0.3031
loss	10	N2	0.4623	0.4623	0.01196	2	0.3008	0.3631
gain	10	N12	0.03021	0.5172	0.002339	1	0.9955	0.9975
loss	10	S52	0.005112	0.5314	0	0	0.05102	0.05103
loss	10	S53	0.009915	0.5371	0	0	0.09428	0.09431
loss	10	N26	0.005924	0.5238	0.007112	1	0.06411	0.06412
loss	10	S46	0.007112	0.5309	0	0	0.06981	0.06982
loss	10	S43	0.007513	0.5345	0	0	0.07018	0.07019
loss	10	N29	0.01165	0.5386	0.001269	1	0.1057	0.1057
loss	10	N31	0.005403	0.5327	0.0003082	1	0.05096	0.05096
loss	10	N34	0.006063	0.5334	0.001681	1	0.05691	0.05691
gain	10	S61	0.4623	0.4623	0	0	0.2553	0.3028
loss	10	S61	0.4623	0.4623	0	0	0.3008	0.3631
gain	11	N2	0.4623	0.4623	0.01196	2	0.2954	0.3542
loss	11	N2	0.4623	0.4623	0.01196	2	0.3404	0.4163
gain	11	N6	0.009603	0.4785	0.006031	1	0.08507	0.08509
gain	11	S30	0.006727	0.4852	0	0	0.9124	0.9125
loss	11	S29	0.006031	0.4845	0	0	0.08792	0.08793
gain	11	S61	0.4623	0.4623	0	0	0.2949	0.3534
loss	11	S61	0.4623	0.4623	0	0	0.3404	0.4163
gain	12	N2	0.4623	0.4623	0.01196	2	0.316	0.351
loss	12	N2	0.4623	0.4623	0.01196	2	0.0683	0.07352
loss	12	S36	0.03741	0.5144	0	0	0.999	0.9994
loss	12	N12	0.03021	0.5172	0.002339	1	0.08268	0.08276
gain	12	S61	0.4623	0.4623	0	0	0.316	0.351
loss	12	S61	0.4623	0.4623	0	0	0.0683	0.07352
gain	13	N2	0.4623	0.4623	0.01196	2	0.4173	0.5182
loss	13	N2	0.4623	0.4623	0.01196	2	0.4337	0.5422
gain	13	N9	0.01471	0.477	0.02209	1	0.647	0.6475
gain	13	S36	0.03741	0.5144	0	0	0.3222	0.3238
gain	13	N11	0.001299	0.487	0.01211	2	0.05227	0.05228
loss	13	N12	0.03021	0.5172	0.002339	1	0.3036	0.3046
loss	13	S53	0.009915	0.5371	0	0	0.06123	0.06125
loss	13	N29	0.01165	0.5386	0.001269	1	0.07126	0.0713
gain	13	N35	0.005546	0.4925	0.006563	2	0.2358	0.2358
loss	13	N56	0.002738	0.4884	0.01851	1	0.3553	0.3553
loss	13	S6	0.02092	0.5093	0	0	0.3568	0.3574
loss	13	N57	0.008261	0.4967	0.01025	1	0.2852	0.2852
loss	13	S4	0.01025	0.5069	0	0	0.07071	0.07074
gain	13	S5	0.01326	0.5174	0	0	0.9555	0.9561
gain	13	S61	0.4623	0.4623	0	0	0.4325	0.5406
loss	13	S61	0.4623	0.4623	0	0	0.4323	0.5403
gain	14	N2	0.4623	0.4623	0.01196	2	0.1608	0.1866
loss	14	N2	0.4623	0.4623	0.01196	2	0.332	0.3688
gain	14	S61	0.4623	0.4623	0	0	0.8587	1.004
loss	14	S61	0.4623	0.4623	0	0	0.1607	0.1865
gain	15	N2	0.4623	0.4623	0.01196	2	0.2989	0.3586
loss	15	N2	0.4623	0.4623	0.01196	2	0.3461	0.4232
gain	15	N6	0.009603	0.4785	0.006031	1	0.1041	0.1041
loss	15	S30	0.006727	0.4852	0	0	0.1077	0.1077
gain	15	S29	0.006031	0.4845	0	0	0.8926	0.8927
gain	15	S61	0.4623	0.4623	0	0	0.343	0.4189
loss	15	S61	0.4623	0.4623	0	0	0.3407	0.4166
gain	16	N2	0.4623	0.4623	0.01196	2	0.2726	0.325
loss	16	N2	0.4623	0.4623	0.01196	2	0.3179	0.386
gain	16	S6	0.02092	0.5093	0	0	0.9859	0.9869
gain	16	S61	0.4623	0.4623	0	0	0.2724	0.3247
loss	16	S61	0.4623	0.4623	0	0	0.3179	0.3861
