# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	N3	1e-06	17.2694	0.446714	1	1	1
gain	2	S5	0.495354	19.3298	0	0	1	1
gain	3	S36	1.39762	19.2166	0	0	1	1
gain	4	N6	0.358726	17.8751	0.22531	1	1	1
gain	5	N3	1e-06	17.2694	0.446714	1	1	1
gain	6	N12	1.12856	19.3202	0.0873938	1	1	1
gain	7	S33	0.0219646	17.8024	0	0	1	1
gain	8	N3	1e-06	17.2694	0.446714	1	1	1
loss	8	N5	0.105876	17.5164	0.274592	2	1	1
gain	8	S5	0.495354	19.3298	0	0	1	1
gain	9	N13	0.0253887	19.3456	0.22748	2	1	1
loss	9	N15	0.0400261	19.4822	0.0909243	1	1	1
gain	10	N12	1.12856	19.3202	0.0873938	1	1	1
gain	11	S30	0.251299	18.1264	0	0	1	1
loss	12	S36	1.39762	19.2166	0	0	1	1
loss	13	N3	1e-06	17.2694	0.446714	1	1	1
loss	13	N56	0.102276	18.2454	0.691605	1	1	1
gain	13	S5	0.495354	19.3298	0	0	1	1
loss	14	N2	17.2694	17.2694	0.446715	2	1	1
gain	15	S29	0.22531	18.1004	0	0	1	1
gain	16	S6	0.781526	19.027	0	0	1	1
