# print count over countCutOffLow=0.1 to countCutOffHigh=0.9 with increment=0.05
POS	prob01	prob10	exp01	exp10	prob01_Rec	prob10_Rec	exp01_Rec	exp10_Rec	prob01_Anc	prob10_Anc	exp01_Anc	exp10_Anc	count01_0.1	count10_0.1	count01_0.15	count10_0.15	count01_0.2	count10_0.2	count01_0.25	count10_0.25	count01_0.3	count10_0.3	count01_0.35	count10_0.35	count01_0.4	count10_0.4	count01_0.45	count10_0.45	count01_0.5	count10_0.5	count01_0.55	count10_0.55	count01_0.6	count10_0.6	count01_0.65	count10_0.65	count01_0.7	count10_0.7	count01_0.75	count10_0.75	count01_0.8	count10_0.8	count01_0.85	count10_0.85	count01_0.9	count10_0.9	
1	1.904	0.4319	1.969	0.4497	0.8341	0.1223	0.8914	0.1279	1.07	0.3096	1.078	0.3218	2	1	2	1	2	1	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	1	0	
2	1.612	0.686	1.72	0.8255	1.318	0.3458	1.372	0.4156	0.2946	0.3401	0.3483	0.4099	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
3	1.553	0.682	1.658	0.8134	1.249	0.3284	1.302	0.3941	0.3041	0.3536	0.3551	0.4193	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
4	1.567	0.6989	1.671	0.8313	0.2941	0.3436	0.3449	0.4098	1.273	0.3553	1.326	0.4215	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
5	1.342	2.015	1.624	2.122	0.332	0.6236	0.3771	0.6852	1.01	1.392	1.247	1.437	2	5	2	4	2	4	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	
6	1.329	0.4237	1.374	0.4843	0.1675	0.2133	0.1896	0.2436	1.162	0.2104	1.185	0.2407	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
7	1.787	0.791	1.905	0.9429	1.394	0.408	1.452	0.484	0.3932	0.383	0.4528	0.4588	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
8	2.899	2.995	3.341	3.203	1.903	0.7141	1.992	0.8281	0.9962	2.281	1.349	2.375	5	8	5	7	5	6	3	4	3	4	3	4	2	4	2	2	2	2	2	2	2	1	2	0	2	0	2	0	2	0	2	0	1	0	
9	2.135	1.654	2.265	1.821	0.3455	0.7151	0.4099	0.7986	1.789	0.9389	1.855	1.022	6	4	6	4	6	4	6	4	4	3	2	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1.544	1.576	1.641	1.701	0.2784	0.8143	0.3261	0.8767	1.265	0.7619	1.315	0.8242	3	3	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
11	1.751	0.8592	1.869	1.011	1.284	0.4785	1.342	0.5545	0.4676	0.3807	0.5265	0.4566	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
12	0.6422	1.49	0.7123	1.501	0.3211	1.211	0.3562	1.216	0.3211	0.2789	0.3561	0.2842	2	1	2	1	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
13	3.223	3.263	3.434	3.481	1.773	1.395	1.883	1.504	1.449	1.868	1.551	1.977	6	6	6	6	6	6	5	6	5	5	4	4	4	2	2	0	2	0	2	0	2	0	1	0	1	0	1	0	1	0	1	0	1	0	
14	1.111	0.5339	1.283	0.5965	0.9014	0.1844	1.047	0.2102	0.2098	0.3495	0.2357	0.3863	2	2	2	2	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
15	1.822	0.8883	1.958	1.041	1.33	0.4998	1.406	0.5758	0.492	0.3885	0.5519	0.4657	4	3	3	2	3	2	3	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
16	1.574	0.6909	1.68	0.8272	1.275	0.3402	1.328	0.4083	0.2995	0.3507	0.3519	0.4189	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
