# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4623	0.4623	0.01196	2	0.09955
loss	1	N2	0.4623	0.4623	0.01196	2	0.276
gain	1	N9	0.01471	0.477	0.02209	1	0.96
gain	1	S61	0.4623	0.4623	0	0	0.8217
loss	1	S61	0.4623	0.4623	0	0	0.08615
gain	2	N2	0.4623	0.4623	0.01196	2	0.2773
loss	2	N2	0.4623	0.4623	0.01196	2	0.3227
gain	2	S5	0.01326	0.5174	0	0	0.9968
gain	2	S61	0.4623	0.4623	0	0	0.2771
loss	2	S61	0.4623	0.4623	0	0	0.3227
gain	3	N2	0.4623	0.4623	0.01196	2	0.2664
loss	3	N2	0.4623	0.4623	0.01196	2	0.3108
gain	3	S36	0.03741	0.5144	0	0	0.9728
gain	3	S61	0.4623	0.4623	0	0	0.2653
loss	3	S61	0.4623	0.4623	0	0	0.3109
gain	4	N2	0.4623	0.4623	0.01196	2	0.2691
loss	4	N2	0.4623	0.4623	0.01196	2	0.3123
gain	4	N6	0.009603	0.4785	0.006031	1	0.9691
gain	4	S61	0.4623	0.4623	0	0	0.2669
loss	4	S61	0.4623	0.4623	0	0	0.3124
gain	5	N2	0.4623	0.4623	0.01196	2	0.9356
loss	5	N2	0.4623	0.4623	0.01196	2	0.2476
loss	5	N6	0.009603	0.4785	0.006031	1	0.09895
loss	5	S30	0.006727	0.4852	0	0	0.06154
loss	5	S29	0.006031	0.4845	0	0	0.05545
loss	5	N9	0.01471	0.477	0.02209	1	0.6455
loss	5	S36	0.03741	0.5144	0	0	0.1149
loss	5	N10	0.008677	0.4857	0.01341	2	0.3383
gain	5	S61	0.4623	0.4623	0	0	0.2474
loss	5	S61	0.4623	0.4623	0	0	0.3481
gain	6	N2	0.4623	0.4623	0.01196	2	0.1583
loss	6	N2	0.4623	0.4623	0.01196	2	0.2024
gain	6	N12	0.03021	0.5172	0.002339	1	0.9975
gain	6	S61	0.4623	0.4623	0	0	0.1582
loss	6	S61	0.4623	0.4623	0	0	0.2024
gain	7	N2	0.4623	0.4623	0.01196	2	0.2966
loss	7	N2	0.4623	0.4623	0.01196	2	0.3403
gain	7	S33	0.000588	0.4766	0	0	0.9878
gain	7	S61	0.4623	0.4623	0	0	0.2949
loss	7	S61	0.4623	0.4623	0	0	0.3404
gain	8	N2	0.4623	0.4623	0.01196	2	0.8749
loss	8	N2	0.4623	0.4623	0.01196	2	0.4081
gain	8	S34	0.00818	0.4742	0	0	0.2067
loss	8	N5	0.002834	0.4689	0.007351	2	0.5815
loss	8	N6	0.009603	0.4785	0.006031	1	0.2009
loss	8	N7	0.006969	0.4759	0.0003819	1	0.2129
gain	8	S35	0.01923	0.4815	0	0	0.2062
loss	8	N9	0.01471	0.477	0.02209	1	0.6394
loss	8	S36	0.03741	0.5144	0	0	0.1702
loss	8	N10	0.008677	0.4857	0.01341	2	0.1488
gain	8	S5	0.01326	0.5174	0	0	0.9946
gain	8	S61	0.4623	0.4623	0	0	0.3991
loss	8	S61	0.4623	0.4623	0	0	0.4458
gain	9	N2	0.4623	0.4623	0.01196	2	0.3203
loss	9	N2	0.4623	0.4623	0.01196	2	0.3668
gain	9	N12	0.03021	0.5172	0.002339	1	0.2882
loss	9	S60	0.002339	0.5195	0	0	0.2856
gain	9	N13	0.0006796	0.5179	0.006089	2	0.2627
loss	9	N15	0.001071	0.5215	0.002434	1	0.5148
gain	9	N20	0.002722	0.5232	0.004046	1	0.4485
gain	9	N26	0.005924	0.5238	0.007112	1	0.4514
gain	9	S61	0.4623	0.4623	0	0	0.3201
loss	9	S61	0.4623	0.4623	0	0	0.3668
gain	10	N2	0.4623	0.4623	0.01196	2	0.2554
loss	10	N2	0.4623	0.4623	0.01196	2	0.3008
gain	10	N12	0.03021	0.5172	0.002339	1	0.9955
loss	10	S52	0.005112	0.5314	0	0	0.05102
loss	10	S53	0.009915	0.5371	0	0	0.09428
loss	10	N26	0.005924	0.5238	0.007112	1	0.06411
loss	10	S46	0.007112	0.5309	0	0	0.06981
loss	10	S43	0.007513	0.5345	0	0	0.07018
loss	10	N29	0.01165	0.5386	0.001269	1	0.1057
loss	10	N31	0.005403	0.5327	0.0003082	1	0.05096
loss	10	N34	0.006063	0.5334	0.001681	1	0.05691
gain	10	S61	0.4623	0.4623	0	0	0.2553
loss	10	S61	0.4623	0.4623	0	0	0.3008
gain	11	N2	0.4623	0.4623	0.01196	2	0.2954
loss	11	N2	0.4623	0.4623	0.01196	2	0.3404
gain	11	N6	0.009603	0.4785	0.006031	1	0.08507
gain	11	S30	0.006727	0.4852	0	0	0.9124
loss	11	S29	0.006031	0.4845	0	0	0.08792
gain	11	S61	0.4623	0.4623	0	0	0.2949
loss	11	S61	0.4623	0.4623	0	0	0.3404
gain	12	N2	0.4623	0.4623	0.01196	2	0.316
loss	12	N2	0.4623	0.4623	0.01196	2	0.0683
loss	12	S36	0.03741	0.5144	0	0	0.999
loss	12	N12	0.03021	0.5172	0.002339	1	0.08268
gain	12	S61	0.4623	0.4623	0	0	0.316
loss	12	S61	0.4623	0.4623	0	0	0.0683
gain	13	N2	0.4623	0.4623	0.01196	2	0.4173
loss	13	N2	0.4623	0.4623	0.01196	2	0.4337
gain	13	N9	0.01471	0.477	0.02209	1	0.647
gain	13	S36	0.03741	0.5144	0	0	0.3222
gain	13	N11	0.001299	0.487	0.01211	2	0.05227
loss	13	N12	0.03021	0.5172	0.002339	1	0.3036
loss	13	S53	0.009915	0.5371	0	0	0.06123
