# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.5425	0.5425	0.01717	2	0.1331
loss	1	N2	0.5425	0.5425	0.01717	2	0.3582
gain	1	N10	0.01585	0.5583	0.02459	1	0.9784
gain	1	S62	0.5425	0.5425	0	0	0.806
loss	1	S62	0.5425	0.5425	0	0	0.1287
gain	2	N2	0.5425	0.5425	0.01717	2	0.2801
loss	2	N2	0.5425	0.5425	0.01717	2	0.353
gain	2	S5	0.0175	0.613	0	0	0.9958
gain	2	S62	0.5425	0.5425	0	0	0.2801
loss	2	S62	0.5425	0.5425	0	0	0.353
gain	3	N2	0.5425	0.5425	0.01717	2	0.1998
loss	3	N2	0.5425	0.5425	0.01717	2	0.2688
gain	3	N12	0.03359	0.5986	0.003419	1	0.995
gain	3	S62	0.5425	0.5425	0	0	0.1998
loss	3	S62	0.5425	0.5425	0	0	0.2688
gain	4	N2	0.5425	0.5425	0.01717	2	0.314
loss	4	N2	0.5425	0.5425	0.01717	2	0.3848
gain	4	S33	0.0006737	0.5605	0	0	0.9792
gain	4	S62	0.5425	0.5425	0	0	0.3113
loss	4	S62	0.5425	0.5425	0	0	0.3852
gain	5	N2	0.5425	0.5425	0.01717	2	0.9453
loss	5	N2	0.5425	0.5425	0.01717	2	0.3379
loss	5	N7	0.009624	0.5594	0.0002147	1	0.9962
loss	5	N10	0.01585	0.5583	0.02459	1	0.09729
gain	5	S37	0.04982	0.6082	0	0	0.1085
loss	5	N11	0.006677	0.565	0.01791	2	0.5937
loss	5	N12	0.03359	0.5986	0.003419	1	0.07222
loss	5	N35	0.003254	0.5683	0.01465	2	0.2801
gain	5	S62	0.5425	0.5425	0	0	0.3378
loss	5	S62	0.5425	0.5425	0	0	0.4558
gain	6	N2	0.5425	0.5425	0.01717	2	0.6508
loss	6	N2	0.5425	0.5425	0.01717	2	0.3335
gain	6	N4	0.004751	0.5472	0.01242	2	0.1178
gain	6	N6	0.002582	0.5498	0.009839	1	0.06546
loss	6	S34	0.01128	0.5611	0	0	0.056
gain	6	N7	0.009624	0.5594	0.0002147	1	0.2535
loss	6	S36	0.02659	0.5746	0	0	0.09096
loss	6	S35	0.01877	0.5668	0	0	0.06606
loss	6	N10	0.01585	0.5583	0.02459	1	0.3537
loss	6	S37	0.04982	0.6082	0	0	0.0665
loss	6	N11	0.006677	0.565	0.01791	2	0.1395
loss	6	N35	0.003254	0.5683	0.01465	2	0.06611
gain	6	S62	0.5425	0.5425	0	0	0.3014
loss	6	S62	0.5425	0.5425	0	0	0.4116
gain	7	N2	0.5425	0.5425	0.01717	2	0.1998
loss	7	N2	0.5425	0.5425	0.01717	2	0.2688
gain	7	N12	0.03359	0.5986	0.003419	1	0.995
gain	7	S62	0.5425	0.5425	0	0	0.1998
loss	7	S62	0.5425	0.5425	0	0	0.2688
gain	8	N2	0.5425	0.5425	0.01717	2	0.1693
loss	8	N2	0.5425	0.5425	0.01717	2	0.3957
gain	8	S62	0.5425	0.5425	0	0	0.8145
loss	8	S62	0.5425	0.5425	0	0	0.1693
gain	9	N2	0.5425	0.5425	0.01717	2	0.9605
loss	9	N2	0.5425	0.5425	0.01717	2	0.4515
gain	9	N5	0.01069	0.5579	0.007463	1	0.07768
loss	9	N6	0.002582	0.5498	0.009839	1	0.6703
loss	9	S34	0.01128	0.5611	0	0	0.2526
loss	9	N7	0.009624	0.5594	0.0002147	1	0.2524
gain	9	S36	0.02659	0.5746	0	0	0.07441
loss	9	S35	0.01877	0.5668	0	0	0.9306
loss	9	S37	0.04982	0.6082	0	0	0.9527
loss	9	N12	0.03359	0.5986	0.003419	1	0.2767
loss	9	S54	0.01189	0.6217	0	0	0.07092
loss	9	N34	0.01391	0.6235	0.001576	1	0.08239
loss	9	S44	0.009059	0.6187	0	0	0.05485
loss	9	S47	0.008502	0.6143	0	0	0.05342
loss	9	N58	0.0102	0.583	0.01201	1	0.8962
loss	9	S4	0.01201	0.5951	0	0	0.07768
loss	9	N59	0.007436	0.5905	0.007369	1	0.06884
gain	9	S5	0.0175	0.613	0	0	0.9876
gain	9	S62	0.5425	0.5425	0	0	0.5128
loss	9	S62	0.5425	0.5425	0	0	0.5155
gain	10	N2	0.5425	0.5425	0.01717	2	0.2787
loss	10	N2	0.5425	0.5425	0.01717	2	0.3515
gain	10	S28	0.02518	0.598	0	0	0.9882
gain	10	S62	0.5425	0.5425	0	0	0.2787
loss	10	S62	0.5425	0.5425	0	0	0.3515
gain	11	N2	0.5425	0.5425	0.01717	2	0.3567
loss	11	N2	0.5425	0.5425	0.01717	2	0.4333
gain	11	N12	0.03359	0.5986	0.003419	1	0.2245
loss	11	S61	0.003419	0.602	0	0	0.2232
gain	11	N15	0.003251	0.6051	0.004843	1	0.7318
loss	11	N21	0.001256	0.6031	0.002875	1	0.2531
gain	11	N26	0.007095	0.6058	0.008502	1	0.7371
gain	11	S62	0.5425	0.5425	0	0	0.3566
loss	11	S62	0.5425	0.5425	0	0	0.4333
gain	12	N2	0.5425	0.5425	0.01717	2	0.257
loss	12	N2	0.5425	0.5425	0.01717	2	0.06573
loss	12	S36	0.02659	0.5746	0	0	0.999
gain	12	S62	0.5425	0.5425	0	0	0.257
loss	12	S62	0.5425	0.5425	0	0	0.06573
