# print count over countCutOffLow=0.1 to countCutOffHigh=0.9 with increment=0.05
POS	prob01	prob10	exp01	exp10	prob01_Rec	prob10_Rec	exp01_Rec	exp10_Rec	prob01_Anc	prob10_Anc	exp01_Anc	exp10_Anc	count01_0.1	count10_0.1	count01_0.15	count10_0.15	count01_0.2	count10_0.2	count01_0.25	count10_0.25	count01_0.3	count10_0.3	count01_0.35	count10_0.35	count01_0.4	count10_0.4	count01_0.45	count10_0.45	count01_0.5	count10_0.5	count01_0.55	count10_0.55	count01_0.6	count10_0.6	count01_0.65	count10_0.65	count01_0.7	count10_0.7	count01_0.75	count10_0.75	count01_0.8	count10_0.8	count01_0.85	count10_0.85	count01_0.9	count10_0.9	
1	1.952	0.5203	2.055	0.5623	0.8252	0.1414	0.9132	0.1551	1.126	0.3789	1.141	0.4072	3	2	2	1	2	1	2	1	2	1	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	1	0	
2	1.588	0.7402	1.694	0.8968	1.295	0.3776	1.347	0.4559	0.2938	0.3626	0.3462	0.4409	3	2	3	2	3	2	3	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
3	1.416	0.5632	1.48	0.6599	0.2125	0.2844	0.2439	0.3328	1.203	0.2788	1.236	0.3272	3	2	3	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
4	1.931	0.8866	2.054	1.067	1.484	0.4617	1.545	0.552	0.4468	0.4249	0.5092	0.5149	3	2	3	2	3	2	3	2	3	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
5	1.552	3.192	1.925	3.362	0.5239	0.6303	0.5914	0.7329	1.028	2.562	1.334	2.63	3	5	2	5	2	5	2	5	2	4	1	3	1	3	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
6	1.624	1.86	1.859	2.02	0.4418	0.8236	0.5	0.9124	1.182	1.037	1.359	1.107	4	4	3	3	3	3	3	3	2	3	1	2	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
7	1.416	0.5632	1.48	0.6599	0.2125	0.2844	0.2439	0.3328	1.203	0.2788	1.236	0.3272	3	2	3	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
8	1.094	0.6017	1.257	0.6737	0.8666	0.1918	1.003	0.2184	0.2274	0.4099	0.2542	0.4553	2	2	2	2	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	
9	2.817	6.312	3.366	6.561	1.659	3.228	1.799	3.374	1.158	3.084	1.568	3.187	3	9	3	9	3	9	3	9	3	6	3	6	3	6	3	6	3	5	2	4	2	4	2	4	2	3	2	3	2	3	2	3	2	2	
10	1.584	0.746	1.689	0.9015	1.284	0.3718	1.337	0.4496	0.2999	0.3742	0.3519	0.4519	3	2	3	2	3	2	3	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
11	2.52	1.417	2.665	1.63	0.4108	0.699	0.4832	0.8058	2.109	0.7177	2.182	0.8244	5	4	5	4	5	4	4	3	4	2	4	2	2	2	2	0	2	0	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	
12	0.5182	1.135	0.5642	1.142	0.2602	1.067	0.2832	1.071	0.258	0.06771	0.281	0.07156	2	1	2	1	2	1	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
