# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	N3	1e-06	17.2694	0.546627	2	1	1
gain	2	S5	0.556975	19.5145	0	0	1	1
gain	3	N12	1.06929	19.0558	0.108832	1	1	1
gain	4	S33	0.0214457	17.8434	0	0	1	1
loss	5	N7	0.306371	17.8092	0.00683356	1	1	1
loss	5	N11	0.212559	17.9865	0.570076	2	1	1
loss	5	S62	17.2694	17.2694	0	0	1	1
gain	6	N7	0.306371	17.8092	0.00683356	1	1	1
gain	7	N12	1.06929	19.0558	0.108832	1	1	1
loss	8	N2	17.2694	17.2694	0.546628	2	1	1
loss	9	N6	0.0821859	17.5028	0.313205	1	1	1
loss	9	S35	0.59749	18.0422	0	0	1	1
loss	9	S37	1.58599	19.3599	0	0	1	1
loss	9	N58	0.324618	18.5605	0.382356	1	1	1
gain	9	S5	0.556975	19.5145	0	0	1	1
gain	10	S28	0.801685	19.0376	0	0	1	1
gain	11	N13	0.00428866	19.0601	0.231328	2	1	1
loss	11	N21	0.0399837	19.1999	0.0915118	1	1	1
loss	12	S36	0.846468	18.2912	0	0	1	1
