"protein","genotype","term","estimate","std.error","statistic","p.value"
"huACE2","AncAsia_GARD","a",6.41163717871234,0.361246983902261,17.7486248035972,4.44549744007426e-07
"huACE2","AncAsia_GARD","b",4.10757568309943,0.157548350476356,26.0718418865063,3.12412821379514e-08
"huACE2","AncAsia_GARD","EC50",0.395432943280468,0.123275686391443,3.20771236288097,0.0149053288802499
"huACE2","AncAsia_GARD","n",0.467429308880669,0.0619767761243097,7.54200747620568,0.000132546692380515
"huACE2","AncAsia_MAP","a",6.87944663952814,0.493854180771273,13.9301172438881,2.32376826191549e-06
"huACE2","AncAsia_MAP","b",3.94960229890151,0.198566847853585,19.8905423619041,2.03024181282647e-07
"huACE2","AncAsia_MAP","EC50",0.451886150017269,0.183951756417983,2.45654707960752,0.0436858858309098
"huACE2","AncAsia_MAP","n",0.420803766565074,0.0645064928075508,6.52343273134542,0.000326860348856697
"huACE2","AncSarbecovirus_GARD","a",4,1415.68452788547,0.00282548825053177,0.997824425666511
"huACE2","AncSarbecovirus_GARD","b",3.45251651156194,0.0221027282839667,156.203183028151,1.16294310708701e-13
"huACE2","AncSarbecovirus_GARD","EC50",10000,3909969.69714785,0.00255756457838908,0.998030721458322
"huACE2","AncSarbecovirus_GARD","n",1.00906342061652,7.89929131709734,0.127741006137156,0.901946256212267
"huACE2","AncSarbecovirus_GARD+K493Y","a",4,4.38844835249862,0.911483895605732,0.39234737070889
"huACE2","AncSarbecovirus_GARD+K493Y","b",3.90103777188602,0.115525287756807,33.7678256218512,5.17587575455341e-09
"huACE2","AncSarbecovirus_GARD+K493Y","EC50",429.659428010332,2451.15755526278,0.175288376337877,0.865815695257343
"huACE2","AncSarbecovirus_GARD+K493Y","n",0.364680567664994,0.209647193742626,1.7394965377533,0.125500933720306
"huACE2","AncSarbecovirus_MAP","a",4,952.27053379981,0.00420048700240566,0.996765707699221
"huACE2","AncSarbecovirus_MAP","b",3.92454107943945,0.0178773811294511,219.525502702081,1.07444476613906e-14
"huACE2","AncSarbecovirus_MAP","EC50",10000,2700475.83127827,0.00370305110091154,0.997148721415621
"huACE2","AncSarbecovirus_MAP","n",0.988548784799038,5.59813249201107,0.176585457062648,0.864834437196898
"huACE2","SARS-CoV-1","a",6.66984245129017,0.418077417999131,15.9536061125024,9.22772241311679e-07
"huACE2","SARS-CoV-1","b",4.04884903030393,0.196151289343755,20.6414601904978,1.57242836769717e-07
"huACE2","SARS-CoV-1","EC50",0.131204972278508,0.0521047638918129,2.51809935365859,0.0399213082558544
"huACE2","SARS-CoV-1","n",0.35677738439584,0.0452716927756817,7.88080503558037,0.00010030579998518
"huACE2","SARS-CoV-2","a",6.86077057525955,0.338576027774648,20.2636040724833,1.78613732899801e-07
"huACE2","SARS-CoV-2","b",3.80430642031534,0.168220915581579,22.6149430180128,8.36828813599256e-08
"huACE2","SARS-CoV-2","EC50",0.0817504034606937,0.0266571880228675,3.06673019639451,0.0181507699518481
"huACE2","SARS-CoV-2","n",0.343301153754956,0.0341786321140842,10.0443210427222,2.07793355019572e-05
"huACE2","SARS1+T501Y","a",4,9.12434447175847,0.438387657587977,0.674315904042175
"huACE2","SARS1+T501Y","b",3.8843404146891,0.141899113156625,27.3739583587225,2.22765306213742e-08
"huACE2","SARS1+T501Y","EC50",1476.41237238761,18259.2000598538,0.0808585462423278,0.937817728772589
"huACE2","SARS1+T501Y","n",0.323547739050506,0.280744056269068,1.15246514334186,0.286963108186403
"huACE2","SARS1+Y498Q","a",6.04211207171568,0.203689575788502,29.6633347500777,1.27505322640901e-08
"huACE2","SARS1+Y498Q","b",4.0845911553511,0.0921794981768267,44.311275675592,7.78694134638843e-10
"huACE2","SARS1+Y498Q","EC50",2.38261379117285,0.325306402336881,7.32421426094609,0.000159412323042421
"huACE2","SARS1+Y498Q","n",1.11975929674692,0.15931203749306,7.02871744262073,0.000206233129167445
"huACE2","SARS1+Y498Q+T501Y","a",4,20.1826099412463,0.198190422925698,0.848528976133081
"huACE2","SARS1+Y498Q+T501Y","b",3.92931335723214,0.0266534117509747,147.422528640764,1.74338416132239e-13
"huACE2","SARS1+Y498Q+T501Y","EC50",6189.03764577186,80267.8139631422,0.0771048486335229,0.940697729949271
"huACE2","SARS1+Y498Q+T501Y","n",0.555072641411215,0.384467274573465,1.44374483374956,0.192032022269402
"huACE2","SARS2+N501Y","a",7.00526836126672,0.28024883961599,24.9966007740324,4.18363822788587e-08
"huACE2","SARS2+N501Y","b",3.88639642209619,0.145481536366366,26.7140182813927,2.63882618791915e-08
"huACE2","SARS2+N501Y","EC50",0.0339888416607778,0.0102373134249991,3.32009388105462,0.0127633799434481
"huACE2","SARS2+N501Y","n",0.30048636024939,0.0234590984758073,12.8089474776396,4.09927229130537e-06
"huACE2","SARS2+Q498Y","a",6.77577111788197,0.251748893739984,26.9147999708005,2.50519973680082e-08
"huACE2","SARS2+Q498Y","b",3.92813355709239,0.136096245102372,28.8629091429939,1.54201208861732e-08
"huACE2","SARS2+Q498Y","EC50",0.0401938544199257,0.0104225978688009,3.85641419978818,0.00624039123715082
"huACE2","SARS2+Q498Y","n",0.331340186701111,0.0250937310329485,13.204102102874,3.33891229644574e-06
"huACE2","SARS2+Q498Y+N501Y","a",6.74156158184459,0.26121043849393,25.8089286963976,3.35165221873014e-08
"huACE2","SARS2+Q498Y+N501Y","b",3.91599911309688,0.145815660540026,26.855819865946,2.54363431740289e-08
"huACE2","SARS2+Q498Y+N501Y","EC50",0.0319151964150615,0.00871198222784784,3.66336794318113,0.00803442398740901
"huACE2","SARS2+Q498Y+N501Y","n",0.332077917386137,0.026523869257163,12.5199650988498,4.78076683934679e-06
"RaACE2.9479","AncAsia_GARD","a",9,1.12539794517724,7.99717116826849,9.13552750997601e-05
"RaACE2.9479","AncAsia_GARD","b",3.5411318179028,0.508391975898723,6.96535741273821,0.000218181365843523
"RaACE2.9479","AncAsia_GARD","EC50",0.0257380000133713,0.0289574525819525,0.88882127806409,0.403606853353357
"RaACE2.9479","AncAsia_GARD","n",0.245144271116387,0.0557197361155693,4.39959497668705,0.0031584043632782
"RaACE2.9479","AncAsia_MAP","a",7.06289962622341,0.266684884327256,26.4840643069831,2.80197304991567e-08
"RaACE2.9479","AncAsia_MAP","b",3.4202207760995,0.0826763109744828,41.3688121275164,1.25761691690992e-09
"RaACE2.9479","AncAsia_MAP","EC50",1.81270309509041,0.357961314233736,5.06396368269779,0.0014568849344812
"RaACE2.9479","AncAsia_MAP","n",0.482658172315159,0.038199057932773,12.6353422946868,4.49429580036689e-06
"RaACE2.9479","AncSarbecovirus_GARD","a",4.95152869259343,0.233601409197393,21.196484685627,1.30929186526853e-07
"RaACE2.9479","AncSarbecovirus_GARD","b",3.30161572239921,0.0904964559551106,36.483370398913,3.02011207833552e-09
