# Start coordinate are with the genome as reference (not MSA).
# Count starts from zero (first position = 1).
seqID	seqName	start	length
0	S1	43	1
1	S2	43	1
2	S3	43	1
3	S4	43	1
4	S5	43	1
4	S5	152	1
5	S6	43	1
5	S6	152	1
6	S7	43	1
6	S7	152	1
7	S8	43	1
7	S8	152	1
8	S9	43	1
8	S9	152	1
9	S10	43	1
9	S10	152	1
10	S11	43	1
10	S11	152	1
11	S12	43	1
11	S12	152	1
12	S13	43	1
12	S13	152	1
13	S14	43	1
13	S14	152	1
14	S15	43	1
14	S15	152	1
15	S16	43	1
15	S16	152	1
16	S17	43	1
16	S17	152	1
17	S18	43	1
17	S18	152	1
18	S19	43	1
18	S19	152	1
19	S20	43	1
19	S20	152	1
20	S21	43	1
20	S21	152	1
21	S22	43	1
21	S22	152	1
22	S23	43	1
22	S23	152	1
23	S24	43	1
23	S24	152	1
24	S25	43	1
24	S25	152	1
25	S26	43	1
25	S26	152	1
26	S27	116	4
26	S27	150	1
27	S28	117	2
28	S29	43	1
28	S29	116	5
28	S29	138	14
29	S30	43	1
29	S30	116	5
29	S30	138	14
30	S31	43	1
30	S31	116	5
30	S31	138	14
31	S32	43	1
31	S32	116	5
31	S32	138	14
32	S33	43	1
32	S33	116	5
32	S33	138	14
33	S34	43	1
33	S34	116	5
33	S34	138	14
34	S35	43	1
34	S35	116	5
34	S35	138	14
35	S36	43	1
35	S36	116	5
35	S36	138	14
36	S37	43	1
36	S37	116	5
36	S37	138	14
37	S38	43	1
37	S38	116	5
37	S38	138	14
38	S39	43	1
38	S39	116	5
38	S39	138	14
39	S40	43	1
39	S40	116	5
39	S40	138	14
40	S41	43	1
40	S41	116	5
40	S41	138	14
41	S42	43	1
41	S42	116	5
41	S42	138	14
42	S43	43	1
42	S43	116	5
42	S43	138	14
43	S44	43	1
43	S44	116	5
43	S44	138	14
44	S45	43	1
44	S45	116	5
44	S45	139	13
45	S46	43	1
45	S46	116	5
45	S46	139	13
46	S47	43	1
46	S47	116	5
46	S47	139	13
47	S48	43	1
47	S48	116	5
47	S48	139	13
48	S49	43	1
48	S49	116	5
48	S49	139	13
49	S50	43	1
49	S50	116	5
49	S50	139	13
50	S51	43	1
50	S51	116	5
50	S51	139	13
51	S52	43	1
51	S52	152	2
