Pos	Node	Prob_Of_Indel
43	N1	0.1019
43	N10	1
43	N11	1
43	N12	1
43	N13	1
43	N14	1
43	N15	1
43	N16	1
43	N17	1
43	N18	1
43	N19	1
43	N2	0.1342
43	N20	1
43	N21	1
43	N22	1
43	N23	1
43	N24	1
43	N25	1
43	N26	1
43	N27	1
43	N28	1
43	N29	1
43	N3	0.04319
43	N30	1
43	N31	1
43	N32	1
43	N33	1
43	N34	1
43	N35	1
43	N36	1
43	N37	1
43	N38	1
43	N39	1
43	N4	0.9998
43	N40	1
43	N41	1
43	N42	1
43	N43	1
43	N44	1
43	N45	1
43	N46	1
43	N47	1
43	N48	1
43	N49	1
43	N5	1
43	N50	1
43	N51	1
43	N6	1
43	N7	1
43	N8	1
43	N9	1
116	N1	0.06581
116	N10	1.218e-07
116	N11	6.045e-10
116	N12	8.45e-15
116	N13	4.478e-15
116	N14	4.484e-15
116	N15	3.766e-21
116	N16	4.483e-15
116	N17	6.418e-18
116	N18	5.322e-15
116	N19	9.718e-21
116	N2	0.1144
116	N20	1.358e-14
116	N21	1.356e-14
116	N22	9.422e-18
116	N23	9.002e-15
116	N24	4.5e-15
116	N25	5.844e-10
116	N26	0.000385
116	N27	6.194e-06
116	N28	3.262e-07
116	N29	4.671e-07
116	N3	0.1281
116	N30	1.821e-06
116	N31	4.741e-07
116	N32	1.19e-08
116	N33	1.499e-14
116	N34	3.135e-09
116	N35	4.137e-06
116	N36	4.93e-07
116	N37	2.039e-07
116	N38	3.914e-07
116	N39	2.087e-07
116	N4	0.0006238
116	N40	7.32e-07
116	N41	1.089e-07
116	N42	1.213e-07
116	N43	2.69e-09
116	N44	1.479e-07
116	N45	4.94e-08
116	N46	3.841e-08
116	N47	4.248e-08
116	N48	3.782e-14
116	N49	2.931e-05
116	N5	4.219e-05
116	N50	2.258e-06
116	N51	1.354e-06
116	N6	9.733e-13
116	N7	9.057e-15
116	N8	5.292e-08
116	N9	7.23e-09
117	N1	0.08002
117	N10	1.218e-07
117	N11	6.045e-10
117	N12	8.45e-15
117	N13	4.478e-15
117	N14	4.484e-15
117	N15	3.766e-21
117	N16	4.483e-15
117	N17	6.418e-18
117	N18	5.322e-15
117	N19	9.718e-21
117	N2	0.5584
117	N20	1.358e-14
117	N21	1.356e-14
117	N22	9.422e-18
117	N23	9.002e-15
117	N24	4.5e-15
117	N25	5.844e-10
117	N26	0.008755
117	N27	0.9999
117	N28	1
117	N29	1
117	N3	0.6253
117	N30	1
117	N31	1
117	N32	1
117	N33	1
117	N34	1
117	N35	1
117	N36	1
117	N37	1
117	N38	1
117	N39	1
117	N4	0.009881
117	N40	1
117	N41	1
117	N42	1
117	N43	1
117	N44	1
117	N45	1
117	N46	1
117	N47	1
117	N48	1
117	N49	0.0003439
117	N5	0.0005702
117	N50	7.295e-06
117	N51	1.647e-06
117	N6	3.16e-12
117	N7	9.057e-15
117	N8	1.929e-07
117	N9	1.086e-08
118	N1	0.08002
118	N10	1.218e-07
118	N11	6.045e-10
118	N12	8.45e-15
118	N13	4.478e-15
118	N14	4.484e-15
118	N15	3.766e-21
118	N16	4.483e-15
118	N17	6.418e-18
118	N18	5.322e-15
118	N19	9.718e-21
118	N2	0.5584
118	N20	1.358e-14
118	N21	1.356e-14
118	N22	9.422e-18
118	N23	9.002e-15
118	N24	4.5e-15
118	N25	5.844e-10
118	N26	0.008755
118	N27	0.9999
118	N28	1
118	N29	1
118	N3	0.6253
118	N30	1
118	N31	1
118	N32	1
118	N33	1
118	N34	1
118	N35	1
118	N36	1
118	N37	1
118	N38	1
118	N39	1
118	N4	0.009881
118	N40	1
118	N41	1
118	N42	1
118	N43	1
118	N44	1
118	N45	1
118	N46	1
118	N47	1
118	N48	1
118	N49	0.0003439
118	N5	0.0005702
118	N50	7.295e-06
118	N51	1.647e-06
118	N6	3.16e-12
118	N7	9.057e-15
