# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.4328	0.4328	0.01061	2	0.1469	0.1573
loss	1	N2	0.4328	0.4328	0.01061	2	0.2086	0.2219
gain	1	N6	0.02238	0.4552	0.01202	3	0.9623	0.9627
gain	1	S57	0.4328	0.4328	0	0	0.9378	1.025
loss	1	S57	0.4328	0.4328	0	0	0.12	0.127
gain	2	N2	0.4328	0.4328	0.01061	2	0.1847	0.2016
loss	2	N2	0.4328	0.4328	0.01061	2	0.2261	0.2503
gain	2	S5	0.01164	0.4833	0	0	0.9928	0.9929
gain	2	S57	0.4328	0.4328	0	0	0.1845	0.2014
loss	2	S57	0.4328	0.4328	0	0	0.2261	0.2503
gain	3	N2	0.4328	0.4328	0.01061	2	0.2891	0.3273
loss	3	N2	0.4328	0.4328	0.01061	2	0.2232	0.2469
gain	3	S29	0.01268	0.4455	0	0	0.8688	0.8689
loss	3	N4	0.009904	0.4427	0.0007042	1	0.1315	0.1316
loss	3	N6	0.02238	0.4552	0.01202	3	0.1315	0.1316
gain	3	S57	0.4328	0.4328	0	0	0.1871	0.2044
loss	3	S57	0.4328	0.4328	0	0	0.2304	0.2553
gain	4	N2	0.4328	0.4328	0.01061	2	0.7069	0.8131
loss	4	N2	0.4328	0.4328	0.01061	2	0.1962	0.2152
loss	4	S29	0.01268	0.4455	0	0	0.08577	0.08579
gain	4	N4	0.009904	0.4427	0.0007042	1	0.3374	0.3374
loss	4	N6	0.02238	0.4552	0.01202	3	0.6427	0.6431
gain	4	S57	0.4328	0.4328	0	0	0.1822	0.1987
loss	4	S57	0.4328	0.4328	0	0	0.2389	0.2636
gain	5	N2	0.4328	0.4328	0.01061	2	0.151	0.1624
loss	5	N2	0.4328	0.4328	0.01061	2	0.1925	0.2095
gain	5	N7	0.0281	0.4833	0.00361	2	0.995	0.9958
gain	5	S57	0.4328	0.4328	0	0	0.1508	0.1621
loss	5	S57	0.4328	0.4328	0	0	0.1925	0.2096
gain	6	N2	0.4328	0.4328	0.01061	2	0.1895	0.2072
loss	6	N2	0.4328	0.4328	0.01061	2	0.23	0.2551
gain	6	S32	0.0005203	0.4435	0	0	0.9931	0.9931
gain	6	S57	0.4328	0.4328	0	0	0.1885	0.206
loss	6	S57	0.4328	0.4328	0	0	0.23	0.2551
gain	7	N2	0.4328	0.4328	0.01061	2	0.1868	0.204
loss	7	N2	0.4328	0.4328	0.01061	2	0.2281	0.2528
