# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4328	0.4328	0.01061	2	0.1469
loss	1	N2	0.4328	0.4328	0.01061	2	0.2086
gain	1	N6	0.02238	0.4552	0.01202	3	0.9623
gain	1	S57	0.4328	0.4328	0	0	0.9378
loss	1	S57	0.4328	0.4328	0	0	0.12
gain	2	N2	0.4328	0.4328	0.01061	2	0.1847
loss	2	N2	0.4328	0.4328	0.01061	2	0.2261
gain	2	S5	0.01164	0.4833	0	0	0.9928
gain	2	S57	0.4328	0.4328	0	0	0.1845
loss	2	S57	0.4328	0.4328	0	0	0.2261
gain	3	N2	0.4328	0.4328	0.01061	2	0.2891
loss	3	N2	0.4328	0.4328	0.01061	2	0.2232
gain	3	S29	0.01268	0.4455	0	0	0.8688
loss	3	N4	0.009904	0.4427	0.0007042	1	0.1315
loss	3	N6	0.02238	0.4552	0.01202	3	0.1315
gain	3	S57	0.4328	0.4328	0	0	0.1871
loss	3	S57	0.4328	0.4328	0	0	0.2304
gain	4	N2	0.4328	0.4328	0.01061	2	0.7069
loss	4	N2	0.4328	0.4328	0.01061	2	0.1962
loss	4	S29	0.01268	0.4455	0	0	0.08577
gain	4	N4	0.009904	0.4427	0.0007042	1	0.3374
loss	4	N6	0.02238	0.4552	0.01202	3	0.6427
gain	4	S57	0.4328	0.4328	0	0	0.1822
loss	4	S57	0.4328	0.4328	0	0	0.2389
gain	5	N2	0.4328	0.4328	0.01061	2	0.151
loss	5	N2	0.4328	0.4328	0.01061	2	0.1925
gain	5	N7	0.0281	0.4833	0.00361	2	0.995
gain	5	S57	0.4328	0.4328	0	0	0.1508
loss	5	S57	0.4328	0.4328	0	0	0.1925
gain	6	N2	0.4328	0.4328	0.01061	2	0.1895
loss	6	N2	0.4328	0.4328	0.01061	2	0.23
gain	6	S32	0.0005203	0.4435	0	0	0.9931
gain	6	S57	0.4328	0.4328	0	0	0.1885
loss	6	S57	0.4328	0.4328	0	0	0.23
gain	7	N2	0.4328	0.4328	0.01061	2	0.1868
loss	7	N2	0.4328	0.4328	0.01061	2	0.2281
gain	7	S5	0.01164	0.4833	0	0	0.9927
gain	7	S57	0.4328	0.4328	0	0	0.1866
loss	7	S57	0.4328	0.4328	0	0	0.2281
gain	8	N2	0.4328	0.4328	0.01061	2	0.204
loss	8	N2	0.4328	0.4328	0.01061	2	0.245
gain	8	N7	0.0281	0.4833	0.00361	2	0.539
gain	8	N8	0.004566	0.4878	0.007698	2	0.4586
loss	8	S56	0.002523	0.4869	0	0	0.5123
gain	8	N19	0.002419	0.4893	0.00375	1	0.4831
loss	8	N25	0.001022	0.4879	0.002152	1	0.4899
gain	8	S57	0.4328	0.4328	0	0	0.2036
loss	8	S57	0.4328	0.4328	0	0	0.2451
gain	9	N2	0.4328	0.4328	0.01061	2	0.1785
loss	9	N2	0.4328	0.4328	0.01061	2	0.2197
gain	9	N7	0.0281	0.4833	0.00361	2	0.9517
loss	9	S39	0.006843	0.4964	0	0	0.06298
loss	9	N10	0.01075	0.5004	0.001226	1	0.09669
loss	9	S42	0.006734	0.4955	0	0	0.06262
loss	9	N16	0.00552	0.4965	0.001658	1	0.05038
loss	9	S49	0.009675	0.5039	0	0	0.09042
gain	9	S57	0.4328	0.4328	0	0	0.1782
loss	9	S57	0.4328	0.4328	0	0	0.2198
gain	10	N2	0.4328	0.4328	0.01061	2	0.2321
loss	10	N2	0.4328	0.4328	0.01061	2	0.2589
gain	10	N6	0.02238	0.4552	0.01202	3	0.3257
loss	10	N7	0.0281	0.4833	0.00361	2	0.1121
gain	10	N31	0.004386	0.4601	0.007089	2	0.6434
loss	10	N52	0.003737	0.4595	0.01762	1	0.1356
loss	10	S28	0.02036	0.4798	0	0	0.2179
loss	10	N53	0.007584	0.4671	0.01003	1	0.0614
loss	10	S4	0.01003	0.4771	0	0	0.1569
gain	10	S5	0.01164	0.4833	0	0	0.8424
loss	10	N55	0.001418	0.473	0.004501	1	0.1443
gain	10	S57	0.4328	0.4328	0	0	0.2576
loss	10	S57	0.4328	0.4328	0	0	0.2571
gain	11	N2	0.4328	0.4328	0.01061	2	0.154
loss	11	N2	0.4328	0.4328	0.01061	2	0.2303
gain	11	S57	0.4328	0.4328	0	0	0.9582
loss	11	S57	0.4328	0.4328	0	0	0.1539
gain	12	N2	0.4328	0.4328	0.01061	2	0.2953
loss	12	N2	0.4328	0.4328	0.01061	2	0.2264
gain	12	S29	0.01268	0.4455	0	0	0.8635
loss	12	N4	0.009904	0.4427	0.0007042	1	0.1368
loss	12	N6	0.02238	0.4552	0.01202	3	0.1321
gain	12	S57	0.4328	0.4328	0	0	0.2299
loss	12	S57	0.4328	0.4328	0	0	0.2306
gain	13	N2	0.4328	0.4328	0.01061	2	0.1837
loss	13	N2	0.4328	0.4328	0.01061	2	0.225
gain	13	S28	0.02036	0.4798	0	0	0.9851
gain	13	S57	0.4328	0.4328	0	0	0.1835
loss	13	S57	0.4328	0.4328	0	0	0.225
