POS	Node	State	Prob
1	S29	1	0
1	S30	1	0
1	S31	1	0
1	S32	1	0
1	N5	1	2.15e-07
1	N4	1	2.491e-05
1	N3	1	0.03735
1	S39	1	1
1	S41	1	1
1	S40	1	1
1	N10	1	1
1	N9	1	1
1	S42	1	1
1	S35	1	1
1	S38	1	1
1	N15	1	1
1	S36	1	1
1	N14	1	1
1	S37	1	1
1	N13	1	1
1	S34	1	1
1	S33	1	1
1	N16	1	1
1	N12	1	1
1	N11	1	1
1	N8	1	1
1	S56	1	1
1	S46	1	1
1	S43	1	1
1	S49	1	1
1	S44	1	1
1	S45	1	1
1	N23	1	1
1	N22	1	1
1	N21	1	1
1	S48	1	1
1	S47	1	1
1	N24	1	1
1	N20	1	1
1	N19	1	1
1	S50	1	1
1	S53	1	1
1	S55	1	1
1	S52	1	1
1	S51	1	1
1	N29	1	1
1	N28	1	1
1	S54	1	1
1	N27	1	1
1	N26	1	1
1	N25	1	1
1	N18	1	1
1	N17	1	1
1	N7	1	1
1	S27	1	1
1	S26	1	1
1	N33	1	1
1	S25	1	1
1	N32	1	1
1	S23	1	1
1	S21	1	1
1	S22	1	1
1	N36	1	1
1	S6	1	1
1	S10	1	1
1	S11	1	1
1	N43	1	1
1	N42	1	1
1	S12	1	1
1	N41	1	1
1	S7	1	1
1	N40	1	1
1	S9	1	1
1	S8	1	1
1	N44	1	1
1	N39	1	1
1	S15	1	1
1	S18	1	1
1	S20	1	1
1	N50	1	1
1	S19	1	1
1	N49	1	1
1	S16	1	1
1	S17	1	1
1	N51	1	1
1	N48	1	1
1	N47	1	1
1	S14	1	1
1	N46	1	1
1	S13	1	1
1	N45	1	1
1	N38	1	1
1	S24	1	1
1	N37	1	1
1	N35	1	1
1	N34	1	1
1	N31	1	1
1	S28	1	1
1	S4	1	1
1	S5	1	1
1	S2	1	1
1	S3	1	1
1	S1	1	1
1	N56	1	1
1	N55	1	1
1	N54	1	1
1	N53	1	1
1	N52	1	1
1	N30	1	1
1	N6	1	0.9996
1	N2	1	0.03735
1	S57	1	1
1	N1	1	0.102
2	S29	1	0
2	S30	1	0
2	S31	1	0
2	S32	1	0
2	N5	1	1.903e-08
2	N4	1	1.025e-06
2	N3	1	0.0002243
2	S39	1	0
2	S41	1	0
2	S40	1	0
2	N10	1	1.723e-06
2	N9	1	1.266e-05
2	S42	1	0
2	S35	1	0
2	S38	1	0
2	N15	1	9.918e-09
2	S36	1	0
2	N14	1	6.035e-14
2	S37	1	0
2	N13	1	4.133e-08
2	S34	1	0
2	S33	1	0
2	N16	1	1.612e-06
2	N12	1	6.148e-06
2	N11	1	1.941e-06
2	N8	1	1.621e-06
2	S56	1	0
2	S46	1	0
2	S43	1	0
2	S49	1	0
2	S44	1	0
2	S45	1	0
2	N23	1	1.044e-08
2	N22	1	4.164e-07
2	N21	1	3.953e-07
2	S48	1	0
2	S47	1	0
2	N24	1	2.531e-06
2	N20	1	7.696e-07
2	N19	1	1.299e-06
2	S50	1	0
2	S53	1	0
2	S55	1	0
2	S52	1	0
2	S51	1	0
2	N29	1	1.368e-13
2	N28	1	1.444e-07
2	S54	1	0
2	N27	1	1.338e-07
2	N26	1	1.693e-07
2	N25	1	5.125e-07
2	N18	1	7.19e-07
2	N17	1	1.704e-06
2	N7	1	1.307e-05
2	S27	1	0
2	S26	1	0
2	N33	1	3.146e-14
2	S25	1	0
2	N32	1	2.953e-12
2	S23	1	0
2	S21	1	0
2	S22	1	0
2	N36	1	1.914e-09
2	S6	1	0
2	S10	1	0
2	S11	1	0
2	N43	1	1.553e-14
2	N42	1	3.29e-20
2	S12	1	0
2	N41	1	1.552e-14
2	S7	1	0
2	N40	1	1.55e-14
2	S9	1	0
2	S8	1	0
2	N44	1	3.765e-17
2	N39	1	2.932e-14
2	S15	1	0
2	S18	1	0
2	S20	1	0
2	N50	1	3.116e-14
2	S19	1	0
