# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4744	0.4744	0.009796	1	0.1807
loss	1	N2	0.4744	0.4744	0.009796	1	0.2507
gain	1	N4	0.0266	0.5051	0.0143	2	0.9583
gain	1	S51	0.4744	0.4744	0	0	0.9542
loss	1	S51	0.4744	0.4744	0	0	0.1588
gain	2	N2	0.4744	0.4744	0.009796	1	0.2309
loss	2	N2	0.4744	0.4744	0.009796	1	0.2202
loss	2	S27	0.009796	0.4842	0	0	0.08604
gain	2	S26	0.01477	0.4932	0	0	0.8767
loss	2	N4	0.0266	0.5051	0.0143	2	0.1236
gain	2	S51	0.4744	0.4744	0	0	0.1626
loss	2	S51	0.4744	0.4744	0	0	0.2281
gain	3	N2	0.4744	0.4744	0.009796	1	0.7479
loss	3	N2	0.4744	0.4744	0.009796	1	0.1778
gain	3	S27	0.009796	0.4842	0	0	0.2628
loss	3	N3	0.004103	0.4785	0.01477	1	0.1053
loss	3	S26	0.01477	0.4932	0	0	0.05897
loss	3	N4	0.0266	0.5051	0.0143	2	0.6225
gain	3	S51	0.4744	0.4744	0	0	0.1612
loss	3	S51	0.4744	0.4744	0	0	0.2466
gain	4	N2	0.4744	0.4744	0.009796	1	0.1614
loss	4	N2	0.4744	0.4744	0.009796	1	0.2241
gain	4	N6	0.03284	0.5395	0.00459	2	0.9966
gain	4	S51	0.4744	0.4744	0	0	0.1611
loss	4	S51	0.4744	0.4744	0	0	0.2241
gain	5	N2	0.4744	0.4744	0.009796	1	0.1643
loss	5	N2	0.4744	0.4744	0.009796	1	0.2271
gain	5	N6	0.03284	0.5395	0.00459	2	0.3972
gain	5	N7	0.004732	0.5442	0.008369	2	0.6024
loss	5	S50	0.002861	0.5441	0	0	0.3548
loss	5	N17	0.00113	0.545	0.00233	1	0.3476
gain	5	N22	0.002688	0.5466	0.004101	1	0.6408
gain	5	S51	0.4744	0.4744	0	0	0.1641
loss	5	S51	0.4744	0.4744	0	0	0.2271
gain	6	N2	0.4744	0.4744	0.009796	1	0.1625
loss	6	N2	0.4744	0.4744	0.009796	1	0.2253
gain	6	N6	0.03284	0.5395	0.00459	2	0.9418
loss	6	S36	0.01329	0.5594	0	0	0.07608
gain	6	N15	0.001728	0.5412	0.002861	1	0.05501
loss	6	S43	0.01063	0.5627	0	0	0.06427
gain	6	S51	0.4744	0.4744	0	0	0.1623
loss	6	S51	0.4744	0.4744	0	0	0.2253
gain	7	N2	0.4744	0.4744	0.009796	1	0.1672
loss	7	N2	0.4744	0.4744	0.009796	1	0.2276
gain	7	N4	0.0266	0.5051	0.0143	2	0.1849
gain	7	N5	0.001561	0.5066	0.01274	3	0.1784
loss	7	N6	0.03284	0.5395	0.00459	2	0.07366
gain	7	N28	0.005366	0.512	0.007371	2	0.6263
loss	7	N49	0.009852	0.5149	0.01084	1	0.1842
gain	7	S51	0.4744	0.4744	0	0	0.2231
loss	7	S51	0.4744	0.4744	0	0	0.221
gain	8	N2	0.4744	0.4744	0.009796	1	0.1592
loss	8	N2	0.4744	0.4744	0.009796	1	0.2532
gain	8	S51	0.4744	0.4744	0	0	0.9553
loss	8	S51	0.4744	0.4744	0	0	0.159
gain	9	N2	0.4744	0.4744	0.009796	1	0.2315
loss	9	N2	0.4744	0.4744	0.009796	1	0.2224
loss	9	S27	0.009796	0.4842	0	0	0.08696
gain	9	S26	0.01477	0.4932	0	0	0.8755
loss	9	N4	0.0266	0.5051	0.0143	2	0.1236
gain	9	S51	0.4744	0.4744	0	0	0.223
loss	9	S51	0.4744	0.4744	0	0	0.2233
