POS	Node	State	Prob
1	S27	1	0
1	S26	1	0
1	S29	1	1
1	S28	1	1
1	N10	1	1
1	S32	1	1
1	S30	1	1
1	S33	1	1
1	N13	1	1
1	S31	1	1
1	N12	1	1
1	N11	1	1
1	N9	1	1
1	S35	1	1
1	N8	1	1
1	S34	1	1
1	S36	1	1
1	N14	1	1
1	N7	1	1
1	S50	1	1
1	S47	1	1
1	S48	1	1
1	S49	1	1
1	S45	1	1
1	S46	1	1
1	N21	1	1
1	N20	1	1
1	N19	1	1
1	N18	1	1
1	S44	1	1
1	N17	1	1
1	S40	1	1
1	S37	1	1
1	S43	1	1
1	S39	1	1
1	S38	1	1
1	N26	1	1
1	N25	1	1
1	N24	1	1
1	S42	1	1
1	S41	1	1
1	N27	1	1
1	N23	1	1
1	N22	1	1
1	N16	1	1
1	N15	1	1
1	N6	1	1
1	S21	1	1
1	S7	1	1
1	S6	1	1
1	N34	1	1
1	S8	1	1
1	S10	1	1
1	N38	1	1
1	S4	1	1
1	N37	1	1
1	S9	1	1
1	N36	1	1
1	S5	1	1
1	N35	1	1
1	N33	1	1
1	S12	1	1
1	S13	1	1
1	N41	1	1
1	S17	1	1
1	S16	1	1
1	S18	1	1
1	N44	1	1
1	N43	1	1
1	S14	1	1
1	S15	1	1
1	N45	1	1
1	N42	1	1
1	N40	1	1
1	S11	1	1
1	N39	1	1
1	N32	1	1
1	S22	1	1
1	N31	1	1
1	S20	1	1
1	S19	1	1
1	N46	1	1
1	N30	1	1
1	N29	1	1
1	S23	1	1
1	S25	1	1
1	S24	1	1
1	N48	1	1
1	N47	1	1
1	N28	1	1
1	N5	1	1
1	S3	1	1
1	S1	1	1
1	S2	1	1
1	N50	1	1
1	N49	1	1
1	N4	1	0.9996
1	N3	1	0.04142
1	N2	1	0.02912
1	S51	1	1
1	N1	1	0.1075
2	S27	1	0
2	S26	1	1
2	S29	1	0
2	S28	1	0
2	N10	1	4.942e-07
2	S32	1	0
2	S30	1	0
2	S33	1	0
2	N13	1	2.974e-09
2	S31	1	0
2	N12	1	1.447e-14
2	N11	1	1.23e-08
2	N9	1	1.886e-06
2	S35	1	0
2	N8	1	4.668e-07
2	S34	1	0
2	S36	1	0
2	N14	1	4.391e-06
2	N7	1	3.306e-07
2	S50	1	0
2	S47	1	0
2	S48	1	0
2	S49	1	0
2	S45	1	0
2	S46	1	0
2	N21	1	3.955e-14
2	N20	1	4.439e-08
2	N19	1	4.123e-08
2	N18	1	5.249e-08
2	S44	1	0
2	N17	1	1.531e-07
2	S40	1	0
2	S37	1	0
2	S43	1	0
2	S39	1	0
2	S38	1	0
2	N26	1	2.763e-09
2	N25	1	1.267e-07
2	N24	1	1.128e-07
2	S42	1	0
2	S41	1	0
2	N27	1	7.733e-07
2	N23	1	2.191e-07
2	N22	1	4.092e-07
2	N16	1	2.115e-07
2	N15	1	5.148e-07
2	N6	1	6.546e-06
2	S21	1	0
2	S7	1	0
2	S6	1	0
2	N34	1	6.716e-18
2	S8	1	0
2	S10	1	0
2	N38	1	4.774e-15
2	S4	1	0
2	N37	1	3.871e-21
2	S9	1	0
2	N36	1	4.783e-15
2	S5	1	0
2	N35	1	4.774e-15
2	N33	1	9.032e-15
2	S12	1	0
2	S13	1	0
2	N41	1	1.575e-18
2	S17	1	0
2	S16	1	0
2	S18	1	0
2	N44	1	9.564e-15
2	N43	1	9.783e-18
2	S14	1	0
2	S15	1	0
2	N45	1	4.78e-15
2	N42	1	1.441e-14
2	N40	1	1.441e-17
2	S11	1	0
2	N39	1	5.642e-15
2	N32	1	6.464e-10
2	S22	1	0
2	N31	1	1.297e-07
2	S20	1	0
2	S19	1	0
2	N46	1	6.209e-10
2	N30	1	7.207e-09
2	N29	1	4.955e-08
2	S23	1	0
2	S25	1	0
2	S24	1	0
2	N48	1	5.065e-15
2	N47	1	1.405e-09
2	N28	1	2.503e-05
2	N5	1	0.0003247
2	S3	1	0
2	S1	1	0
2	S2	1	0
2	N50	1	4.831e-06
2	N49	1	4.695e-05
2	N4	1	0.0007647
2	N3	1	0.1233
2	N2	1	0.08589
2	S51	1	0
2	N1	1	0.07372
3	S27	1	1
3	S26	1	0.5763
3	S29	1	0.028
3	S28	1	0.02798
3	N10	1	0.02736
3	S32	1	0.02726
3	S30	1	0.02819
3	S33	1	0.02758
3	N13	1	0.02728
3	S31	1	0.02726
3	N12	1	0.02726
3	N11	1	0.02715
3	N9	1	0.0252
3	S35	1	0.02701
3	N8	1	0.02434
3	S34	1	0.02737
3	S36	1	0.02934
3	N14	1	0.02468
3	N7	1	0.02399
3	S50	1	0.02393
3	S47	1	0.02564
3	S48	1	0.0259
3	S49	1	0.02668
3	S45	1	0.02623
3	S46	1	0.02619
3	N21	1	0.02619
