# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4279	0.4279	0.01519	2	0.2505
loss	1	N2	0.4279	0.4279	0.01519	2	0.2216
loss	1	N3	0.002408	0.4303	0.01278	1	0.09105
gain	1	N4	0.02148	0.4494	0.01175	3	0.8657
gain	1	S52	0.4279	0.4279	0	0	0.9557
loss	1	S52	0.4279	0.4279	0	0	0.1472
gain	2	N2	0.4279	0.4279	0.01519	2	0.2414
loss	2	N2	0.4279	0.4279	0.01519	2	0.1979
gain	2	S27	0.01323	0.4436	0	0	0.8719
loss	2	S28	0.01278	0.4431	0	0	0.1284
loss	2	N4	0.02148	0.4494	0.01175	3	0.1146
gain	2	S52	0.4279	0.4279	0	0	0.1484
loss	2	S52	0.4279	0.4279	0	0	0.2075
gain	3	N2	0.4279	0.4279	0.01519	2	0.6018
loss	3	N2	0.4279	0.4279	0.01519	2	0.1722
gain	3	N3	0.002408	0.4303	0.01278	1	0.06694
loss	3	S27	0.01323	0.4436	0	0	0.0597
gain	3	S28	0.01278	0.4431	0	0	0.375
loss	3	N4	0.02148	0.4494	0.01175	3	0.5489
gain	3	S52	0.4279	0.4279	0	0	0.1475
loss	3	S52	0.4279	0.4279	0	0	0.2194
gain	4	N2	0.4279	0.4279	0.01519	2	0.1475
loss	4	N2	0.4279	0.4279	0.01519	2	0.2028
gain	4	N27	0.02929	0.48	0.004078	2	0.9951
gain	4	S52	0.4279	0.4279	0	0	0.147
loss	4	S52	0.4279	0.4279	0	0	0.2029
gain	5	N2	0.4279	0.4279	0.01519	2	0.1501
loss	5	N2	0.4279	0.4279	0.01519	2	0.2057
gain	5	N27	0.02929	0.48	0.004078	2	0.4298
gain	5	N28	0.004282	0.4842	0.007584	2	0.569
gain	5	N38	0.002409	0.4864	0.003713	1	0.6049
loss	5	N44	0.001022	0.485	0.002118	1	0.382
loss	5	S51	0.002547	0.484	0	0	0.3908
gain	5	S52	0.4279	0.4279	0	0	0.1498
loss	5	S52	0.4279	0.4279	0	0	0.2057
gain	6	N2	0.4279	0.4279	0.01519	2	0.1486
loss	6	N2	0.4279	0.4279	0.01519	2	0.204
gain	6	N27	0.02929	0.48	0.004078	2	0.9407
loss	6	S37	0.01201	0.4979	0	0	0.07839
gain	6	N36	0.001531	0.4815	0.002547	1	0.05474
loss	6	S44	0.009619	0.501	0	0	0.0663
gain	6	S52	0.4279	0.4279	0	0	0.1481
loss	6	S52	0.4279	0.4279	0	0	0.204
gain	7	N2	0.4279	0.4279	0.01519	2	0.1776
loss	7	N2	0.4279	0.4279	0.01519	2	0.2043
gain	7	N4	0.02148	0.4494	0.01175	3	0.2337
gain	7	N5	0.004945	0.4543	0.006804	2	0.7278
loss	7	N49	0.009463	0.4601	0.00956	1	0.228
gain	7	S52	0.4279	0.4279	0	0	0.2026
loss	7	S52	0.4279	0.4279	0	0	0.2017
gain	8	N2	0.4279	0.4279	0.01519	2	0.1455
loss	8	N2	0.4279	0.4279	0.01519	2	0.2306
gain	8	S52	0.4279	0.4279	0	0	0.9593
loss	8	S52	0.4279	0.4279	0	0	0.1453
gain	9	N2	0.4279	0.4279	0.01519	2	0.2424
loss	9	N2	0.4279	0.4279	0.01519	2	0.1996
gain	9	S27	0.01323	0.4436	0	0	0.8705
loss	9	S28	0.01278	0.4431	0	0	0.1298
loss	9	N4	0.02148	0.4494	0.01175	3	0.1146
gain	9	S52	0.4279	0.4279	0	0	0.2024
loss	9	S52	0.4279	0.4279	0	0	0.2037
