# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.4279	0.4279	0.01519	2	0.2505	0.2692
loss	1	N2	0.4279	0.4279	0.01519	2	0.2216	0.2368
loss	1	N3	0.002408	0.4303	0.01278	1	0.09105	0.09105
gain	1	N4	0.02148	0.4494	0.01175	3	0.8657	0.866
gain	1	S52	0.4279	0.4279	0	0	0.9557	1.052
loss	1	S52	0.4279	0.4279	0	0	0.1472	0.1543
gain	2	N2	0.4279	0.4279	0.01519	2	0.2414	0.2594
loss	2	N2	0.4279	0.4279	0.01519	2	0.1979	0.2108
gain	2	S27	0.01323	0.4436	0	0	0.8719	0.872
loss	2	S28	0.01278	0.4431	0	0	0.1284	0.1284
loss	2	N4	0.02148	0.4494	0.01175	3	0.1146	0.1146
gain	2	S52	0.4279	0.4279	0	0	0.1484	0.1556
loss	2	S52	0.4279	0.4279	0	0	0.2075	0.2215
gain	3	N2	0.4279	0.4279	0.01519	2	0.6018	0.6606
loss	3	N2	0.4279	0.4279	0.01519	2	0.1722	0.1822
gain	3	N3	0.002408	0.4303	0.01278	1	0.06694	0.06694
loss	3	S27	0.01323	0.4436	0	0	0.0597	0.05971
gain	3	S28	0.01278	0.4431	0	0	0.375	0.375
loss	3	N4	0.02148	0.4494	0.01175	3	0.5489	0.5491
gain	3	S52	0.4279	0.4279	0	0	0.1475	0.1547
loss	3	S52	0.4279	0.4279	0	0	0.2194	0.2347
gain	4	N2	0.4279	0.4279	0.01519	2	0.1475	0.1546
loss	4	N2	0.4279	0.4279	0.01519	2	0.2028	0.2163
gain	4	N27	0.02929	0.48	0.004078	2	0.9951	0.9957
gain	4	S52	0.4279	0.4279	0	0	0.147	0.1541
loss	4	S52	0.4279	0.4279	0	0	0.2029	0.2163
gain	5	N2	0.4279	0.4279	0.01519	2	0.1501	0.1576
loss	5	N2	0.4279	0.4279	0.01519	2	0.2057	0.2196
gain	5	N27	0.02929	0.48	0.004078	2	0.4298	0.43
gain	5	N28	0.004282	0.4842	0.007584	2	0.569	0.569
gain	5	N38	0.002409	0.4864	0.003713	1	0.6049	0.6049
loss	5	N44	0.001022	0.485	0.002118	1	0.382	0.382
loss	5	S51	0.002547	0.484	0	0	0.3908	0.3908
gain	5	S52	0.4279	0.4279	0	0	0.1498	0.1572
loss	5	S52	0.4279	0.4279	0	0	0.2057	0.2196
gain	6	N2	0.4279	0.4279	0.01519	2	0.1486	0.1559
loss	6	N2	0.4279	0.4279	0.01519	2	0.204	0.2176
gain	6	N27	0.02929	0.48	0.004078	2	0.9407	0.9412
loss	6	S37	0.01201	0.4979	0	0	0.07839	0.0784
gain	6	N36	0.001531	0.4815	0.002547	1	0.05474	0.05474
loss	6	S44	0.009619	0.501	0	0	0.0663	0.06631
gain	6	S52	0.4279	0.4279	0	0	0.1481	0.1554
loss	6	S52	0.4279	0.4279	0	0	0.204	0.2176
gain	7	N2	0.4279	0.4279	0.01519	2	0.1776	0.1883
loss	7	N2	0.4279	0.4279	0.01519	2	0.2043	0.218
gain	7	N4	0.02148	0.4494	0.01175	3	0.2337	0.2338
gain	7	N5	0.004945	0.4543	0.006804	2	0.7278	0.7278
loss	7	N49	0.009463	0.4601	0.00956	1	0.228	0.228
gain	7	S52	0.4279	0.4279	0	0	0.2026	0.216
loss	7	S52	0.4279	0.4279	0	0	0.2017	0.215
gain	8	N2	0.4279	0.4279	0.01519	2	0.1455	0.1525
loss	8	N2	0.4279	0.4279	0.01519	2	0.2306	0.247
gain	8	S52	0.4279	0.4279	0	0	0.9593	1.057
loss	8	S52	0.4279	0.4279	0	0	0.1453	0.1522
gain	9	N2	0.4279	0.4279	0.01519	2	0.2424	0.2606
loss	9	N2	0.4279	0.4279	0.01519	2	0.1996	0.2128
gain	9	S27	0.01323	0.4436	0	0	0.8705	0.8706
loss	9	S28	0.01278	0.4431	0	0	0.1298	0.1298
loss	9	N4	0.02148	0.4494	0.01175	3	0.1146	0.1146
gain	9	S52	0.4279	0.4279	0	0	0.2024	0.2159
loss	9	S52	0.4279	0.4279	0	0	0.2037	0.2173
