POS	Node	State	Prob
1	S27	1	0
1	S28	1	0
1	N3	1	0.03979
1	S35	1	1
1	S37	1	1
1	N8	1	1
1	S36	1	1
1	S30	1	1
1	S29	1	1
1	N11	1	1
1	S32	1	1
1	S31	1	1
1	S34	1	1
1	N14	1	1
1	N13	1	1
1	S33	1	1
1	N12	1	1
1	N10	1	1
1	N9	1	1
1	N7	1	1
1	S51	1	1
1	S45	1	1
1	S49	1	1
1	S50	1	1
1	S46	1	1
1	S47	1	1
1	N21	1	1
1	N20	1	1
1	N19	1	1
1	S48	1	1
1	N18	1	1
1	N17	1	1
1	S43	1	1
1	S42	1	1
1	N24	1	1
1	S38	1	1
1	S44	1	1
1	S39	1	1
1	S40	1	1
1	N27	1	1
1	N26	1	1
1	N25	1	1
1	N23	1	1
1	S41	1	1
1	N22	1	1
1	N16	1	1
1	N15	1	1
1	N6	1	1
1	S22	1	1
1	S6	1	1
1	S5	1	1
1	S9	1	1
1	S10	1	1
1	N37	1	1
1	N36	1	1
1	S11	1	1
1	N35	1	1
1	N34	1	1
1	S7	1	1
1	S8	1	1
1	N38	1	1
1	N33	1	1
1	S17	1	1
1	S19	1	1
1	N44	1	1
1	S18	1	1
1	N43	1	1
1	S15	1	1
1	S16	1	1
1	N45	1	1
1	N42	1	1
1	S13	1	1
1	N41	1	1
1	S14	1	1
1	N40	1	1
1	S12	1	1
1	N39	1	1
1	N32	1	1
1	S23	1	1
1	N31	1	1
1	S20	1	1
1	S21	1	1
1	N46	1	1
1	N30	1	1
1	N29	1	1
1	S24	1	1
1	S25	1	1
1	S26	1	1
1	N48	1	1
1	N47	1	1
1	N28	1	1
1	N5	1	1
1	S4	1	1
1	S2	1	1
1	S3	1	1
1	S1	1	1
1	N51	1	1
1	N50	1	1
1	N49	1	1
1	N4	1	0.9997
1	N2	1	0.1515
1	S52	1	1
1	N1	1	0.1257
2	S27	1	1
2	S28	1	0
2	N3	1	0.1115
2	S35	1	0
2	S37	1	0
