# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4279	0.4279	0.0153	2	0.2543
loss	1	N2	0.4279	0.4279	0.0153	2	0.2312
loss	1	N3	0.002868	0.4308	0.01243	1	0.1117
gain	1	N4	0.02096	0.4489	0.01311	2	0.8483
gain	1	S52	0.4279	0.4279	0	0	0.9361
loss	1	S52	0.4279	0.4279	0	0	0.1428
gain	2	N2	0.4279	0.4279	0.0153	2	0.2212
loss	2	N2	0.4279	0.4279	0.0153	2	0.1988
gain	2	S27	0.01359	0.4444	0	0	0.8885
loss	2	S28	0.01243	0.4432	0	0	0.1118
loss	2	N4	0.02096	0.4489	0.01311	2	0.09751
gain	2	S52	0.4279	0.4279	0	0	0.143
loss	2	S52	0.4279	0.4279	0	0	0.2087
gain	3	N2	0.4279	0.4279	0.0153	2	0.587
loss	3	N2	0.4279	0.4279	0.0153	2	0.1693
gain	3	N3	0.002868	0.4308	0.01243	1	0.08038
loss	3	S27	0.01359	0.4444	0	0	0.05531
gain	3	S28	0.01243	0.4432	0	0	0.3655
loss	3	N4	0.02096	0.4489	0.01311	2	0.5449
gain	3	S52	0.4279	0.4279	0	0	0.1418
loss	3	S52	0.4279	0.4279	0	0	0.2263
gain	4	N2	0.4279	0.4279	0.0153	2	0.1422
loss	4	N2	0.4279	0.4279	0.0153	2	0.2036
gain	4	N6	0.02946	0.4798	0.004026	2	0.9969
gain	4	S52	0.4279	0.4279	0	0	0.1418
loss	4	S52	0.4279	0.4279	0	0	0.2037
gain	5	N2	0.4279	0.4279	0.0153	2	0.1448
loss	5	N2	0.4279	0.4279	0.0153	2	0.2064
gain	5	N6	0.02946	0.4798	0.004026	2	0.3724
gain	5	N7	0.00434	0.4841	0.007593	2	0.6274
loss	5	S51	0.002543	0.4838	0	0	0.3344
loss	5	N17	0.001016	0.4848	0.002121	1	0.3285
gain	5	N22	0.002412	0.4861	0.003711	1	0.6612
gain	5	S52	0.4279	0.4279	0	0	0.1445
loss	5	S52	0.4279	0.4279	0	0	0.2064
gain	6	N2	0.4279	0.4279	0.0153	2	0.1432
loss	6	N2	0.4279	0.4279	0.0153	2	0.2046
gain	6	N6	0.02946	0.4798	0.004026	2	0.9448
loss	6	S37	0.012	0.4978	0	0	0.07023
gain	6	N15	0.001483	0.4812	0.002543	1	0.05227
loss	6	S44	0.00962	0.5008	0	0	0.0593
gain	6	S52	0.4279	0.4279	0	0	0.1428
loss	6	S52	0.4279	0.4279	0	0	0.2047
gain	7	N2	0.4279	0.4279	0.0153	2	0.1648
loss	7	N2	0.4279	0.4279	0.0153	2	0.2062
gain	7	N4	0.02096	0.4489	0.01311	2	0.1563
gain	7	N5	0.001447	0.4503	0.01166	3	0.1842
loss	7	N6	0.02946	0.4798	0.004026	2	0.0668
gain	7	N28	0.004854	0.4552	0.006804	2	0.6301
loss	7	N49	0.009288	0.4581	0.009556	1	0.1765
gain	7	S52	0.4279	0.4279	0	0	0.2032
loss	7	S52	0.4279	0.4279	0	0	0.2013
gain	8	N2	0.4279	0.4279	0.0153	2	0.1394
loss	8	N2	0.4279	0.4279	0.0153	2	0.2429
gain	8	S52	0.4279	0.4279	0	0	0.9425
loss	8	S52	0.4279	0.4279	0	0	0.1392
gain	9	N2	0.4279	0.4279	0.0153	2	0.2219
loss	9	N2	0.4279	0.4279	0.0153	2	0.2016
gain	9	S27	0.01359	0.4444	0	0	0.8872
loss	9	S28	0.01243	0.4432	0	0	0.113
loss	9	N4	0.02096	0.4489	0.01311	2	0.09766
gain	9	S52	0.4279	0.4279	0	0	0.2031
loss	9	S52	0.4279	0.4279	0	0	0.204
