target,huACE2,cvACE2,RaACE2.787,RsACE2.3364,RpACE2,expression
AncSarbecovirus_MAP,5.1284,5.0085,5.0556,5.1892,6.0129,10.0621
AncSarbecovirus_alt,5.0792,5.0017,5.0426,5.138,6.0025,10.161
AncSarbecovirus_alt1_ins117ins118,5.1102,5.0069,5.0729,5.2027,6.0042,10.1314
AncSarbecovirus_tree1,5.0925,5.0045,5.0693,5.2043,6.0164,10.0299
AncEurAf_alt,5.0983,5.0035,5.0324,5.1627,6.0031,10.1942
AncEurAf_tree1,5.104,5.0041,5.0675,5.1902,6.0168,10.151
BM48-31,5.0948,5.0109,5.037,5.1487,6.0242,10.2394
BtKY72,5.162,5.007,7.0366,5.4113,6.0033,10.0994
AncAsia_MAP,10.3934,5.0029,7.4278,5.2175,6.001,10.1137
AncAsia_alt,5.1402,5.0059,5.4524,5.3389,6.0092,9.8702
AncAsia_tree1,10.2358,5.2402,10.61,9.489,6,9.9809
AncAsia_tree2,10.3097,5.0039,6.3616,5.1558,6.0001,10.1478
AncSARS2a_MAP,11.3879,5.0111,10.8575,8.9143,6,10.2742
AncSARS2a_alt,9.5892,5.0071,8.4223,6.1144,6,8.8719
AncSARS2c_MAP,11.2667,5.0031,8.0721,6.6394,6.0001,10.2076
SARS-CoV-2,10.817,5.0049,7.1807,5.5093,6.0001,10.162
RaTG13,8.4419,5.002,5.0526,5.1539,6.0009,10.0628
GD-Pangolin,10.9827,5.0026,5.9935,6.2106,6,10.1764
GX-Pangolin,10.8643,5.7522,8.0094,6.2875,6,10.2031
AncSARS1a_MAP,9.1907,5.0071,5.7086,5.1237,6.0005,9.9723
AncSARS1a_alt,NA,NA,NA,NA,NA,NA
AncSARS1a_tree1,10.2984,7.7582,10.7918,10.1924,6.0049,10.0694
AncSARS1a_tree2,8.7888,6.6225,7.357,7.3426,6,10.2651
AncSARS1c_MAP,10.7724,5.0114,9.4001,5.9134,6,10.2463
AncSARS-CoV-1_MAP,9.3155,8.0322,9.249,5.185,6.0047,10.2049
AncSARS-CoV-1_alt,10.4161,8.5473,10.4049,6.7487,6.0007,10.1665
SARS-CoV-1_Sin852_HP03L,10.2331,8.4141,10.0075,5.954,6.0014,9.8641
SARS-CoV-1_GZ-C_HP03L,10.4077,8.3742,9.7884,6.1878,6,10.1898
SARS-CoV-1_Sino1-11_HP03L,11.3051,8.3135,11.4061,9.3746,6.0001,10.1625
SARS-CoV-1_Urbani_HP03L,10.3948,8.5155,10.3145,6.5351,6.0001,10.0937
SARS-CoV-1_HGZ8L1-A_HP03E,10.3907,8.5065,10.2987,6.4625,6,10.0928
SARS-CoV-1_GD01_HP03L,10.247,8.4034,10.0339,6.0588,6.0035,9.7056
SARS-CoV-1_PC4-127_PC04,9.0945,9.0927,11.2927,5.8182,6,9.9378
SARS-CoV-1_PC4-13_PC04,8.7324,8.4511,10.2591,5.177,6,10.1819
