# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	17.2694	1	0	0
N2	17.2694	17.2694	0.557465	2	0	1
N3	0.0467689	17.3162	0.510697	1	0	1
S27	0.539262	17.8554	0	0	2	0
S28	0.510697	17.8269	0	0	1	0
N4	0.911043	18.1804	0.509115	3	0	0
N5	1.18342	19.3639	0.163184	2	1	0
N6	0.174331	19.5382	0.306088	2	1	0
N7	0.0677355	19.6059	0.275276	1	0	0
S35	0.275276	19.8812	0	0	0	0
S37	0.484202	20.0901	0	0	0	0
N8	0.0354702	19.5737	0.270618	1	0	0
S36	0.270618	19.8443	0	0	0	0
N9	0.0868616	19.6605	0.21073	2	0	0
N10	0.199792	19.8603	0.0109381	1	0	0
S33	0.0112426	19.8716	0	0	0	0
N11	0.0109371	19.8712	1e-06	1	0	0
N12	0.00212791	19.8734	0.0316127	1	0	0
S31	0.0967233	19.9701	0	0	0	0
S34	0.0316127	19.905	0	0	0	0
S32	1e-06	19.8712	0	0	0	0
N13	0.220445	19.881	0.0666441	1	0	0
S29	0.0666441	19.9476	0	0	0	0
S30	0.0676691	19.9486	0	0	0	0
N14	0.0602909	19.4241	0.102894	1	1	0
S51	0.102894	19.527	0	0	0	0
N15	0.100071	19.5242	0.126539	2	0	0
N16	0.0410112	19.5652	0.0855276	1	0	0
S45	0.0855276	19.6508	0	0	0	0
N17	0.0840213	19.6492	0.0515459	1	0	0
S48	0.0515459	19.7008	0	0	0	0
N18	0.0230214	19.6723	0.0535981	1	0	0
S49	0.0535981	19.7259	0	0	0	0
N19	0.0625108	19.7348	0.0200078	1	0	0
S50	0.0707398	19.8055	0	0	0	0
N20	0.0200068	19.7548	1e-06	1	0	0
S46	0.00374768	19.7585	0	0	0	0
S47	1e-06	19.7548	0	0	0	0
N21	0.0973861	19.6216	0.149755	1	1	0
N22	0.0550333	19.6766	0.181471	2	0	0
N23	0.124796	19.8014	0.0566745	1	0	0
S38	0.0785895	19.88	0	0	0	0
N24	0.0211289	19.8226	0.0355455	1	0	0
N25	0.0291338	19.8517	0.00641167	1	0	0
S39	0.00641167	19.8581	0	0	0	0
S40	0.0281996	19.8799	0	0	0	0
S44	0.388144	20.2107	0	0	0	0
N26	0.055674	19.7323	0.145039	1	0	0
S42	0.145039	19.8773	0	0	0	0
S43	0.188869	19.9212	0	0	0	0
S41	0.149755	19.7714	0	0	0	0
N27	0.0218962	18.2023	0.487219	2	0	0
N28	0.212366	18.4147	0.274853	2	1	0
N29	0.274852	18.6895	1e-06	1	0	0
S24	1e-06	18.6895	0	0	0	0
N30	0.00612755	18.6957	1e-06	1	0	0
S25	1e-06	18.6957	0	0	0	0
S26	0.00304699	18.6987	0	0	0	0
N31	0.247927	18.6626	0.0374184	1	0	0
S22	0.0374184	18.7	0	0	0	0
N32	0.00897906	18.6716	0.0441711	2	0	0
N33	0.0301513	18.7018	0.0647315	1	0	0
N34	0.0611718	18.7629	0.00355965	2	0	0
N35	0.00568736	18.7686	2e-06	2	0	0
N36	0.00303737	18.7716	1e-06	1	0	0
S6	1e-06	18.7716	0	0	0	0
N37	0.00303934	18.7747	2e-06	1	0	0
N38	1e-06	18.7747	1e-06	1	0	0
N39	1e-06	18.7747	0.00304119	1	0	0
S11	0.00304119	18.7777	0	0	0	0
S10	0.00304313	18.7777	0	0	0	0
S5	1e-06	18.7747	0	0	0	0
S9	0.00303651	18.7777	0	0	0	0
N40	1e-06	18.7686	1e-06	1	0	0
S8	0.00303669	18.7716	0	0	0	0
S7	1e-06	18.7686	0	0	0	0
N41	0.00355665	18.7665	3e-06	1	0	0
N42	1e-06	18.7665	2e-06	2	0	0
N43	0.00917363	18.7757	2e-06	2	0	0
N44	1e-06	18.7757	1e-06	1	0	0
N45	0.00304149	18.7787	1e-06	1	0	0
S17	1e-06	18.7787	0	0	0	0
S19	0.00610267	18.7848	0	0	0	0
S18	1e-06	18.7757	0	0	0	0
N46	0.00304644	18.7787	1e-06	1	0	0
S15	1e-06	18.7787	0	0	0	0
S16	0.003045	18.7817	0	0	0	0
N47	1e-06	18.7665	1e-06	1	0	0
S13	1e-06	18.7665	0	0	0	0
S14	0.00305424	18.7695	0	0	0	0
S12	0.00303038	18.7695	0	0	0	0
S23	0.138527	18.8403	0	0	0	0
N48	0.0410598	18.7127	0.00311127	1	0	0
S20	0.00311127	18.7158	0	0	0	0
S21	0.0094525	18.7221	0	0	0	0
N49	0.415908	18.6182	0.383613	1	0	0
S4	0.409503	19.0277	0	0	0	0
N50	0.205928	18.8242	0.177685	1	0	0
S2	0.198934	19.0231	0	0	0	0
N51	0.0874077	18.9116	0.0902775	1	0	0
S3	0.330877	19.2424	0	0	0	0
S1	0.0902775	19.0018	0	0	0	0
S52	17.2694	17.2694	0	0	0	0
