# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.4278	0.4278	0.01381	2	0.2036
loss	1	N2	0.4278	0.4278	0.01381	2	0.2362
gain	1	N4	0.02257	0.4504	0.01261	3	0.9144
gain	1	S52	0.4278	0.4278	0	0	0.9387
loss	1	S52	0.4278	0.4278	0	0	0.1409
gain	2	N2	0.4278	0.4278	0.01381	2	0.2302
loss	2	N2	0.4278	0.4278	0.01381	2	0.198
gain	2	S27	0.01336	0.4423	0	0	0.8853
loss	2	S28	0.01265	0.4416	0	0	0.1149
loss	2	N4	0.02257	0.4504	0.01261	3	0.1088
gain	2	S52	0.4278	0.4278	0	0	0.1429
loss	2	S52	0.4278	0.4278	0	0	0.2091
gain	3	N2	0.4278	0.4278	0.01381	2	0.6251
loss	3	N2	0.4278	0.4278	0.01381	2	0.1662
loss	3	S27	0.01336	0.4423	0	0	0.05436
gain	3	S28	0.01265	0.4416	0	0	0.3661
loss	3	N4	0.02257	0.4504	0.01261	3	0.5805
gain	3	S52	0.4278	0.4278	0	0	0.1416
loss	3	S52	0.4278	0.4278	0	0	0.2281
gain	4	N2	0.4278	0.4278	0.01381	2	0.1422
loss	4	N2	0.4278	0.4278	0.01381	2	0.2036
gain	4	N5	0.02932	0.4797	0.004043	2	0.9955
gain	4	S52	0.4278	0.4278	0	0	0.1418
loss	4	S52	0.4278	0.4278	0	0	0.2036
gain	5	N2	0.4278	0.4278	0.01381	2	0.1447
loss	5	N2	0.4278	0.4278	0.01381	2	0.2063
gain	5	N5	0.02932	0.4797	0.004043	2	0.3728
gain	5	N6	0.004319	0.484	0.007583	2	0.6264
loss	5	S51	0.002549	0.4837	0	0	0.335
loss	5	N16	0.001016	0.4847	0.002119	1	0.3291
gain	5	N21	0.002413	0.4861	0.00371	1	0.6606
gain	5	S52	0.4278	0.4278	0	0	0.1445
loss	5	S52	0.4278	0.4278	0	0	0.2064
gain	6	N2	0.4278	0.4278	0.01381	2	0.1432
loss	6	N2	0.4278	0.4278	0.01381	2	0.2046
gain	6	N5	0.02932	0.4797	0.004043	2	0.943
loss	6	S37	0.012	0.4977	0	0	0.07015
gain	6	N14	0.001494	0.4812	0.002549	1	0.05279
loss	6	S44	0.009615	0.5007	0	0	0.05927
gain	6	S52	0.4278	0.4278	0	0	0.1428
loss	6	S52	0.4278	0.4278	0	0	0.2046
gain	7	N2	0.4278	0.4278	0.01381	2	0.1582
loss	7	N2	0.4278	0.4278	0.01381	2	0.2068
gain	7	N4	0.02257	0.4504	0.01261	3	0.2077
gain	7	N28	0.005261	0.4562	0.006809	2	0.7654
loss	7	N49	0.0103	0.4612	0.009503	1	0.2241
gain	7	S52	0.4278	0.4278	0	0	0.2033
loss	7	S52	0.4278	0.4278	0	0	0.201
gain	8	N2	0.4278	0.4278	0.01381	2	0.1392
loss	8	N2	0.4278	0.4278	0.01381	2	0.2429
gain	8	S52	0.4278	0.4278	0	0	0.9425
loss	8	S52	0.4278	0.4278	0	0	0.1391
gain	9	N2	0.4278	0.4278	0.01381	2	0.2325
loss	9	N2	0.4278	0.4278	0.01381	2	0.2007
gain	9	S27	0.01336	0.4423	0	0	0.8821
loss	9	S28	0.01265	0.4416	0	0	0.1182
loss	9	N4	0.02257	0.4504	0.01261	3	0.1088
gain	9	S52	0.4278	0.4278	0	0	0.203
loss	9	S52	0.4278	0.4278	0	0	0.2044
