# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.4278	0.4278	0.01381	2	0.2036	0.2163
loss	1	N2	0.4278	0.4278	0.01381	2	0.2362	0.252
gain	1	N4	0.02257	0.4504	0.01261	3	0.9144	0.9147
gain	1	S52	0.4278	0.4278	0	0	0.9387	1.026
loss	1	S52	0.4278	0.4278	0	0	0.1409	0.1471
gain	2	N2	0.4278	0.4278	0.01381	2	0.2302	0.2459
loss	2	N2	0.4278	0.4278	0.01381	2	0.198	0.2102
gain	2	S27	0.01336	0.4423	0	0	0.8853	0.8854
loss	2	S28	0.01265	0.4416	0	0	0.1149	0.115
loss	2	N4	0.02257	0.4504	0.01261	3	0.1088	0.1089
gain	2	S52	0.4278	0.4278	0	0	0.1429	0.1494
loss	2	S52	0.4278	0.4278	0	0	0.2091	0.2225
gain	3	N2	0.4278	0.4278	0.01381	2	0.6251	0.6818
loss	3	N2	0.4278	0.4278	0.01381	2	0.1662	0.1752
loss	3	S27	0.01336	0.4423	0	0	0.05436	0.05437
gain	3	S28	0.01265	0.4416	0	0	0.3661	0.3661
loss	3	N4	0.02257	0.4504	0.01261	3	0.5805	0.5806
gain	3	S52	0.4278	0.4278	0	0	0.1416	0.148
loss	3	S52	0.4278	0.4278	0	0	0.2281	0.2434
gain	4	N2	0.4278	0.4278	0.01381	2	0.1422	0.1486
loss	4	N2	0.4278	0.4278	0.01381	2	0.2036	0.2163
gain	4	N5	0.02932	0.4797	0.004043	2	0.9955	0.9961
gain	4	S52	0.4278	0.4278	0	0	0.1418	0.1482
loss	4	S52	0.4278	0.4278	0	0	0.2036	0.2164
gain	5	N2	0.4278	0.4278	0.01381	2	0.1447	0.1514
loss	5	N2	0.4278	0.4278	0.01381	2	0.2063	0.2195
gain	5	N5	0.02932	0.4797	0.004043	2	0.3728	0.373
gain	5	N6	0.004319	0.484	0.007583	2	0.6264	0.6264
loss	5	S51	0.002549	0.4837	0	0	0.335	0.335
loss	5	N16	0.001016	0.4847	0.002119	1	0.3291	0.3291
gain	5	N21	0.002413	0.4861	0.00371	1	0.6606	0.6606
gain	5	S52	0.4278	0.4278	0	0	0.1445	0.1511
loss	5	S52	0.4278	0.4278	0	0	0.2064	0.2196
gain	6	N2	0.4278	0.4278	0.01381	2	0.1432	0.1497
loss	6	N2	0.4278	0.4278	0.01381	2	0.2046	0.2175
gain	6	N5	0.02932	0.4797	0.004043	2	0.943	0.9435
loss	6	S37	0.012	0.4977	0	0	0.07015	0.07016
gain	6	N14	0.001494	0.4812	0.002549	1	0.05279	0.05279
loss	6	S44	0.009615	0.5007	0	0	0.05927	0.05928
gain	6	S52	0.4278	0.4278	0	0	0.1428	0.1492
loss	6	S52	0.4278	0.4278	0	0	0.2046	0.2176
gain	7	N2	0.4278	0.4278	0.01381	2	0.1582	0.1663
loss	7	N2	0.4278	0.4278	0.01381	2	0.2068	0.2199
gain	7	N4	0.02257	0.4504	0.01261	3	0.2077	0.2077
gain	7	N28	0.005261	0.4562	0.006809	2	0.7654	0.7655
loss	7	N49	0.0103	0.4612	0.009503	1	0.2241	0.2241
gain	7	S52	0.4278	0.4278	0	0	0.2033	0.2161
loss	7	S52	0.4278	0.4278	0	0	0.201	0.2136
gain	8	N2	0.4278	0.4278	0.01381	2	0.1392	0.1454
loss	8	N2	0.4278	0.4278	0.01381	2	0.2429	0.2595
gain	8	S52	0.4278	0.4278	0	0	0.9425	1.031
loss	8	S52	0.4278	0.4278	0	0	0.1391	0.1453
gain	9	N2	0.4278	0.4278	0.01381	2	0.2325	0.2485
loss	9	N2	0.4278	0.4278	0.01381	2	0.2007	0.2132
gain	9	S27	0.01336	0.4423	0	0	0.8821	0.8822
loss	9	S28	0.01265	0.4416	0	0	0.1182	0.1182
loss	9	N4	0.02257	0.4504	0.01261	3	0.1088	0.1088
gain	9	S52	0.4278	0.4278	0	0	0.203	0.2158
loss	9	S52	0.4278	0.4278	0	0	0.2044	0.2173
