# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
1	N1	1
1	N2	1
1	N3	0
1	S27	0
1	S28	0
1	N4	1
1	N5	1
1	N6	1
1	N7	1
1	S35	1
1	S37	1
1	N8	1
1	S36	1
1	N9	1
1	N10	1
1	S33	1
1	N11	1
1	N12	1
1	S31	1
1	S34	1
1	S32	1
1	N13	1
1	S29	1
1	S30	1
1	N14	1
1	S51	1
1	N15	1
1	N16	1
1	S45	1
1	N17	1
1	S48	1
1	N18	1
1	S49	1
1	N19	1
1	S50	1
1	N20	1
1	S46	1
1	S47	1
1	N21	1
1	N22	1
1	N23	1
1	S38	1
1	N24	1
1	N25	1
1	S39	1
1	S40	1
1	S44	1
1	N26	1
1	S42	1
1	S43	1
1	S41	1
1	N27	1
1	N28	1
1	N29	1
1	S24	1
1	N30	1
1	S25	1
1	S26	1
1	N31	1
1	S22	1
1	N32	1
1	N33	1
1	N34	1
1	N35	1
1	N36	1
1	S6	1
1	N37	1
1	N38	1
1	N39	1
1	S11	1
1	S10	1
1	S5	1
1	S9	1
1	N40	1
1	S8	1
1	S7	1
1	N41	1
1	N42	1
1	N43	1
1	N44	1
1	N45	1
1	S17	1
1	S19	1
1	S18	1
1	N46	1
1	S15	1
1	S16	1
1	N47	1
1	S13	1
1	S14	1
1	S12	1
1	S23	1
1	N48	1
1	S20	1
1	S21	1
1	N49	1
1	S4	1
1	N50	1
1	S2	1
1	N51	1
1	S3	1
1	S1	1
1	S52	1
2	N1	0
2	N2	0
2	N3	0
2	S27	1
2	S28	0
2	N4	0
2	N5	0
2	N6	0
2	N7	0
2	S35	0
2	S37	0
2	N8	0
2	S36	0
2	N9	0
2	N10	0
2	S33	0
2	N11	0
2	N12	0
2	S31	0
2	S34	0
2	S32	0
2	N13	0
2	S29	0
2	S30	0
2	N14	0
2	S51	0
2	N15	0
2	N16	0
2	S45	0
2	N17	0
2	S48	0
2	N18	0
2	S49	0
2	N19	0
2	S50	0
2	N20	0
2	S46	0
2	S47	0
2	N21	0
2	N22	0
2	N23	0
2	S38	0
2	N24	0
2	N25	0
2	S39	0
2	S40	0
2	S44	0
2	N26	0
2	S42	0
2	S43	0
2	S41	0
2	N27	0
2	N28	0
2	N29	0
2	S24	0
2	N30	0
2	S25	0
2	S26	0
2	N31	0
2	S22	0
2	N32	0
2	N33	0
2	N34	0
2	N35	0
2	N36	0
2	S6	0
2	N37	0
2	N38	0
2	N39	0
2	S11	0
2	S10	0
2	S5	0
2	S9	0
2	N40	0
2	S8	0
2	S7	0
2	N41	0
2	N42	0
2	N43	0
2	N44	0
2	N45	0
2	S17	0
2	S19	0
2	S18	0
2	N46	0
2	S15	0
2	S16	0
2	N47	0
2	S13	0
2	S14	0
2	S12	0
2	S23	0
2	N48	0
2	S20	0
2	S21	0
2	N49	0
2	S4	0
2	N50	0
2	S2	0
2	N51	0
2	S3	0
2	S1	0
2	S52	0
3	N1	0
3	N2	0
3	N3	0
3	S27	0
3	S28	1
3	N4	0
3	N5	0
3	N6	0
3	N7	0
3	S35	0
3	S37	0
3	N8	0
3	S36	0
3	N9	0
3	N10	0
3	S33	0
3	N11	0
3	N12	0
3	S31	0
3	S34	0
3	S32	0
3	N13	0
3	S29	0
3	S30	0
3	N14	0
3	S51	0
3	N15	0
3	N16	0
3	S45	0
3	N17	0
3	S48	0
3	N18	0
3	S49	0
3	N19	0
3	S50	0
3	N20	0
3	S46	0
3	S47	0
3	N21	0
3	N22	0
3	N23	0
3	S38	0
3	N24	0
3	N25	0
3	S39	0
3	S40	0
3	S44	0
3	N26	0
3	S42	0
