# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.5698	0.5698	3.299e-08	1	0.1269	0.14
loss	1	N2	0.5698	0.5698	3.299e-08	1	0.3529	0.3802
gain	1	N10	0.01672	0.6122	0.0261	1	0.9803	0.9804
gain	1	S62	0.5698	0.5698	0	0	0.8131	0.8997
loss	1	S62	0.5698	0.5698	0	0	0.1269	0.14
gain	2	N2	0.5698	0.5698	3.299e-08	1	0.2888	0.346
loss	2	N2	0.5698	0.5698	3.299e-08	1	0.3595	0.4428
gain	2	S5	0.01851	0.6701	0	0	0.9955	0.996
gain	2	S62	0.5698	0.5698	0	0	0.2888	0.346
loss	2	S62	0.5698	0.5698	0	0	0.3595	0.4428
gain	3	N2	0.5698	0.5698	3.299e-08	1	0.2015	0.2341
loss	3	N2	0.5698	0.5698	3.299e-08	1	0.2691	0.3183
gain	3	N12	0.03559	0.655	0.0036	1	0.9947	0.9957
gain	3	S62	0.5698	0.5698	0	0	0.2015	0.2341
loss	3	S62	0.5698	0.5698	0	0	0.2691	0.3183
gain	4	N2	0.5698	0.5698	3.299e-08	1	0.3363	0.4109
loss	4	N2	0.5698	0.5698	3.299e-08	1	0.3911	0.4867
gain	4	S33	0.0007108	0.6145	0	0	0.9775	0.9775
gain	4	S62	0.5698	0.5698	0	0	0.3218	0.3886
loss	4	S62	0.5698	0.5698	0	0	0.3934	0.49
gain	5	N2	0.5698	0.5698	3.299e-08	1	0.9484	1.265
loss	5	N2	0.5698	0.5698	3.299e-08	1	0.3413	0.4125
loss	5	N8	0.01019	0.6134	0.0002261	1	0.9961	0.9963
loss	5	N10	0.01672	0.6122	0.0261	1	0.09866	0.09871
gain	5	S37	0.05268	0.6649	0	0	0.1108	0.1114
loss	5	N11	0.007211	0.6194	0.01889	2	0.5985	0.5986
loss	5	N12	0.03559	0.655	0.0036	1	0.07433	0.0745
loss	5	N35	0.003396	0.6228	0.0155	2	0.2724	0.2724
gain	5	S62	0.5698	0.5698	0	0	0.3413	0.4125
loss	5	S62	0.5698	0.5698	0	0	0.4541	0.5601
gain	6	N2	0.5698	0.5698	3.299e-08	1	0.6109	0.7742
loss	6	N2	0.5698	0.5698	3.299e-08	1	0.3466	0.4252
gain	6	N3	0.01989	0.5897	0.02394	1	0.07055	0.0706
loss	6	S36	0.02816	0.6179	0	0	0.09618	0.09632
gain	6	N5	0.005007	0.6005	0.01315	2	0.1171	0.1171
loss	6	N6	0.01132	0.6118	0.007887	1	0.05175	0.05176
gain	6	N7	0.002741	0.6032	0.01041	1	0.06565	0.06565
gain	6	N8	0.01019	0.6134	0.0002261	1	0.2543	0.2543
loss	6	S34	0.01192	0.6151	0	0	0.05955	0.05956
loss	6	N10	0.01672	0.6122	0.0261	1	0.3524	0.3526
loss	6	S37	0.05268	0.6649	0	0	0.07052	0.07085
loss	6	N11	0.007211	0.6194	0.01889	2	0.1416	0.1416
loss	6	N35	0.003396	0.6228	0.0155	2	0.06471	0.06471
gain	6	S62	0.5698	0.5698	0	0	0.3097	0.3728
loss	6	S62	0.5698	0.5698	0	0	0.4129	0.5062
gain	7	N2	0.5698	0.5698	3.299e-08	1	0.2015	0.2341
loss	7	N2	0.5698	0.5698	3.299e-08	1	0.2691	0.3183
gain	7	N12	0.03559	0.655	0.0036	1	0.9947	0.9957
gain	7	S62	0.5698	0.5698	0	0	0.2015	0.2341
loss	7	S62	0.5698	0.5698	0	0	0.2691	0.3183
gain	8	N2	0.5698	0.5698	3.299e-08	1	0.1758	0.2048
loss	8	N2	0.5698	0.5698	3.299e-08	1	0.3925	0.4404
gain	8	S62	0.5698	0.5698	0	0	0.8242	0.9693
loss	8	S62	0.5698	0.5698	0	0	0.1758	0.2048
