# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	N2	17.2694	17.2694	1e-06	1	1	1
gain	1	N10	0.506743	18.5541	0.791129	1	1	1
gain	2	S5	0.560996	20.3102	0	0	1	1
gain	3	N12	1.07871	19.8514	0.109099	1	1	1
gain	4	S33	0.0215424	18.6253	0	0	1	1
loss	5	N8	0.308764	18.5909	0.00685118	1	1	1
loss	5	N11	0.218546	18.7726	0.572583	2	1	1
loss	5	S62	17.2694	17.2694	0	0	1	1
gain	6	N8	0.308764	18.5909	0.00685118	1	1	1
gain	7	N12	1.07871	19.8514	0.109099	1	1	1
loss	8	N2	17.2694	17.2694	1e-06	1	1	1
loss	9	S35	1e-06	17.2694	0	0	1	1
loss	9	N7	0.083063	18.2822	0.315615	1	1	1
loss	9	S37	1.59651	20.1506	0	0	1	1
loss	9	N58	0.327064	19.3496	0.385178	1	1	1
gain	9	S5	0.560996	20.3102	0	0	1	1
gain	10	S28	0.808262	19.8308	0	0	1	1
gain	11	N13	0.00472417	19.8561	0.232512	2	1	1
loss	11	N15	0.0401935	19.9966	0.0919662	1	1	1
loss	12	S36	0.85355	18.7259	0	0	1	1
