Node	State	ProbSum	Father	StateFather	ProbSumFather
S35	1	2.508	N2	1	2.508
S36	1	2.492	N3	1	3.488
S29	1	3.623	N6	1	3.647
S30	1	3.616	N6	1	3.647
N6	1	3.647	N5	1	3.61
S32	1	2	N8	1	2.004
S33	1	2.995	N9	1	2.022
S31	1	2	N9	1	2.022
N9	1	2.022	N8	1	2.004
N8	1	2.004	N7	1	3.012
S34	1	2.705	N7	1	3.012
N7	1	3.012	N5	1	3.61
N5	1	3.61	N4	1	3.52
S37	1	3.223	N10	1	4.068
S61	1	5.052	N12	1	5.312
S58	1	5.019	N16	1	5.029
S59	1	5.014	N17	1	5.024
S57	1	5.008	N19	1	5.008
S56	1	5.008	N19	1	5.008
N19	1	5.008	N18	1	5.012
S60	1	4.999	N18	1	5.012
N18	1	5.012	N17	1	5.024
N17	1	5.024	N16	1	5.029
N16	1	5.029	N15	1	5.06
S55	1	5.027	N15	1	5.06
N15	1	5.06	N14	1	5.338
S54	1	5.94	N22	1	6.005
S48	1	5.981	N23	1	5.997
S49	1	5.988	N24	1	5.99
S50	1	5.984	N24	1	5.99
N24	1	5.99	N23	1	5.997
N23	1	5.997	N22	1	6.005
N22	1	6.005	N21	1	6.023
S53	1	5.976	N25	1	6.011
S52	1	5.984	N25	1	6.011
N25	1	6.011	N21	1	6.023
N21	1	6.023	N20	1	6.031
S51	1	6.004	N20	1	6.031
N20	1	6.031	N14	1	5.338
N14	1	5.338	N13	1	5.354
S47	1	5.979	N26	1	6.027
S38	1	5.953	N29	1	5.963
S39	1	5.95	N29	1	5.963
N29	1	5.963	N28	1	6.003
S42	1	5.966	N30	1	5.967
S40	1	5.948	N32	1	5.965
S43	1	5.96	N32	1	5.965
N32	1	5.965	N31	1	5.965
S41	1	5.965	N31	1	5.965
N31	1	5.965	N30	1	5.967
N30	1	5.967	N28	1	6.003
N28	1	6.003	N27	1	6.021
S44	1	5.956	N33	1	6.006
S45	1	5.923	N34	1	5.932
S46	1	5.924	N34	1	5.932
N34	1	5.932	N33	1	6.006
N33	1	6.006	N27	1	6.021
N27	1	6.021	N26	1	6.027
N26	1	6.027	N13	1	5.354
N13	1	5.354	N12	1	5.312
N12	1	5.312	N11	1	3.369
S25	1	3	N37	1	3
S26	1	3	N38	1	3
S27	1	3	N38	1	3
N38	1	3	N37	1	3
N37	1	3	N36	1	3.004
S23	1	3	N40	1	3
S19	1	3	N47	1	3
S17	1	3	N48	1	3
S16	1	3	N48	1	3
N48	1	3	N47	1	3
N47	1	3	N46	1	3
S18	1	3	N49	1	3
S20	1	3	N49	1	3
N49	1	3	N46	1	3
N46	1	3	N45	1	3
S14	1	3	N45	1	3
N45	1	3	N44	1	3
S15	1	3	N44	1	3
N44	1	3	N43	1	3
S13	1	3	N43	1	3
N43	1	3	N42	1	3
S10	1	3	N52	1	3
S12	1	3	N54	1	3
S11	1	3	N54	1	3
N54	1	3	N53	1	3
S6	1	3	N53	1	3
N53	1	3	N52	1	3
N52	1	3	N51	1	3
S7	1	3	N51	1	3
N51	1	3	N50	1	3
S9	1	3	N55	1	3
S8	1	3	N55	1	3
N55	1	3	N50	1	3
N50	1	3	N42	1	3
N42	1	3	N41	1	3
S24	1	3	N41	1	3
N41	1	3	N40	1	3
N40	1	3	N39	1	3
S22	1	3	N56	1	3
S21	1	3	N56	1	3
N56	1	3	N39	1	3
N39	1	3	N36	1	3.004
N36	1	3.004	N35	1	3.031
S28	1	4.026	N57	1	3
S4	1	2	N58	1	2.085
S3	1	2	N59	1	2.01
S2	1	2	N61	1	2.019
S5	1	4	N61	1	2.019
N61	1	2.019	N60	1	2.008
S1	1	2	N60	1	2.008
N60	1	2.008	N59	1	2.01
N59	1	2.01	N58	1	2.085
N58	1	2.085	N57	1	3
N57	1	3	N35	1	3.031
N35	1	3.031	N11	1	3.369
N11	1	3.369	N10	1	4.068
N10	1	4.068	N4	1	3.52
N4	1	3.52	N3	1	3.488
N3	1	3.488	N2	1	2.508
N2	1	2.508	N1	1	2.228
S62	1	3.116	N1	1	2.228
N1	1	2.228	NoFather2Root	NA	NA
