# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
loss	1	N2	0.1907	0.1907	0.06668	1	0.4027
loss	1	S36	0.06668	0.2574	0	0	0.1063
loss	1	N4	0.01035	0.2782	0.03792	1	0.09848
gain	1	N10	0.05248	0.3203	0.04421	2	0.8705
gain	1	S62	0.1907	0.1907	0	0	0.5246
loss	2	N2	0.1907	0.1907	0.06668	1	0.07806
gain	2	S5	0.042	0.4775	0	0	0.9977
loss	2	S62	0.1907	0.1907	0	0	0.08102
loss	3	N2	0.1907	0.1907	0.06668	1	0.06033
loss	3	S37	0.1364	0.5248	0	0	0.06104
gain	3	N34	0.1563	0.5448	0.001041	1	0.9547
loss	3	S62	0.1907	0.1907	0	0	0.0625
gain	4	N2	0.1907	0.1907	0.06668	1	0.07385
loss	4	N2	0.1907	0.1907	0.06668	1	0.09706
gain	4	S36	0.06668	0.2574	0	0	0.05127
loss	4	N3	0.07707	0.2678	0.04827	2	0.05024
gain	4	S33	0.0005972	0.3173	0	0	0.9864
gain	4	S35	0.08461	0.3628	0	0	0.06754
gain	4	S37	0.1364	0.5248	0	0	0.1038
gain	4	N34	0.1563	0.5448	0.001041	1	0.118
loss	4	S62	0.1907	0.1907	0	0	0.1135
gain	5	N2	0.1907	0.1907	0.06668	1	0.6334
loss	5	N2	0.1907	0.1907	0.06668	1	0.06068
gain	5	S36	0.06668	0.2574	0	0	0.06866
loss	5	N8	0.02052	0.3161	4.043e-08	1	0.9824
loss	5	N10	0.05248	0.3203	0.04421	2	0.662
loss	5	N11	0.04421	0.3645	1.209e-07	1	0.3034
loss	5	N32	0.03478	0.3551	0.08704	2	0.06572
gain	5	N33	0.03339	0.3885	0.1364	1	0.1242
gain	5	S37	0.1364	0.5248	0	0	0.6526
gain	5	N34	0.1563	0.5448	0.001041	1	0.1161
loss	5	N34	0.1563	0.5448	0.001041	1	0.1975
loss	5	N57	0.02153	0.3766	0.06551	1	0.1721
loss	5	S28	0.09204	0.4686	0	0	0.09797
loss	5	N58	0.0324	0.409	0.03311	1	0.07653
gain	5	S62	0.1907	0.1907	0	0	0.05561
loss	5	S62	0.1907	0.1907	0	0	0.398
gain	6	N2	0.1907	0.1907	0.06668	1	0.2481
loss	6	N2	0.1907	0.1907	0.06668	1	0.08237
loss	6	S36	0.06668	0.2574	0	0	0.07433
gain	6	N3	0.07707	0.2678	0.04827	2	0.1326
gain	6	N4	0.01035	0.2782	0.03792	1	0.1153
gain	6	N5	0.0112	0.2894	0.02671	2	0.128
loss	6	N6	0.03407	0.3234	0.01408	1	0.07466
gain	6	N7	0.006189	0.2956	0.02052	1	0.07219
gain	6	N8	0.02052	0.3161	4.043e-08	1	0.2475
loss	6	S34	0.03049	0.3261	0	0	0.07357
loss	6	S35	0.08461	0.3628	0	0	0.1427
loss	6	N10	0.05248	0.3203	0.04421	2	0.3838
loss	6	N11	0.04421	0.3645	1.209e-07	1	0.06293
gain	6	S37	0.1364	0.5248	0	0	0.1058
gain	6	N34	0.1563	0.5448	0.001041	1	0.1203
loss	6	N34	0.1563	0.5448	0.001041	1	0.0553
loss	6	S62	0.1907	0.1907	0	0	0.2103
loss	7	N2	0.1907	0.1907	0.06668	1	0.06033
loss	7	S37	0.1364	0.5248	0	0	0.06104
gain	7	N34	0.1563	0.5448	0.001041	1	0.9547
loss	7	S62	0.1907	0.1907	0	0	0.0625
loss	8	N2	0.1907	0.1907	0.06668	1	0.4301
gain	8	N34	0.1563	0.5448	0.001041	1	0.09533
gain	8	S62	0.1907	0.1907	0	0	0.5909
gain	9	N2	0.1907	0.1907	0.06668	1	0.4972
loss	9	N2	0.1907	0.1907	0.06668	1	0.1
gain	9	S36	0.06668	0.2574	0	0	0.1873
loss	9	N3	0.07707	0.2678	0.04827	2	0.1487
loss	9	N4	0.01035	0.2782	0.03792	1	0.09902
gain	9	N6	0.03407	0.3234	0.01408	1	0.4049
loss	9	N7	0.006189	0.2956	0.02052	1	0.4161
loss	9	N8	0.02052	0.3161	4.043e-08	1	0.1768
loss	9	S34	0.03049	0.3261	0	0	0.178
loss	9	S35	0.08461	0.3628	0	0	0.6289
gain	9	N10	0.05248	0.3203	0.04421	2	0.1277
gain	9	N11	0.04421	0.3645	1.209e-07	1	0.1812
loss	9	N32	0.03478	0.3551	0.08704	2	0.1684
loss	9	N33	0.03339	0.3885	0.1364	1	0.1692
loss	9	S37	0.1364	0.5248	0	0	0.5272
gain	9	N34	0.1563	0.5448	0.001041	1	0.1153
loss	9	N34	0.1563	0.5448	0.001041	1	0.2868
loss	9	N57	0.02153	0.3766	0.06551	1	0.05384
gain	9	S28	0.09204	0.4686	0	0	0.3957
loss	9	N58	0.0324	0.409	0.03311	1	0.5564
loss	9	S4	0.03762	0.4466	0	0	0.07073
loss	9	N59	0.0203	0.4293	0.01281	1	0.05339
gain	9	S5	0.042	0.4775	0	0	0.9823
gain	9	S62	0.1907	0.1907	0	0	0.1563
loss	9	S62	0.1907	0.1907	0	0	0.2832
loss	10	N2	0.1907	0.1907	0.06668	1	0.07697
gain	10	S28	0.09204	0.4686	0	0	0.9746
loss	10	S62	0.1907	0.1907	0	0	0.07991
gain	11	N2	0.1907	0.1907	0.06668	1	0.05449
loss	11	N2	0.1907	0.1907	0.06668	1	0.1039
gain	11	N33	0.03339	0.3885	0.1364	1	0.05821
loss	11	S37	0.1364	0.5248	0	0	0.09452
gain	11	N34	0.1563	0.5448	0.001041	1	0.9348
loss	11	N48	0.002386	0.5621	0.003935	2	0.9876
gain	11	S28	0.09204	0.4686	0	0	0.0755
loss	11	S62	0.1907	0.1907	0	0	0.1081
loss	12	N2	0.1907	0.1907	0.06668	1	0.0716
loss	12	S36	0.06668	0.2574	0	0	0.8578
gain	12	N3	0.07707	0.2678	0.04827	2	0.1431
gain	12	S62	0.1907	0.1907	0	0	0.1044
