# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	S36	3.83315	14.7976	0	0	1	1
loss	1	N4	0.595123	15.9899	2.17957	1	1	1
gain	2	S5	2.41402	27.4497	0	0	1	1
gain	3	N34	8.98493	31.3147	0.0598512	1	1	1
gain	4	S33	0.0343273	18.237	0	0	1	1
loss	5	N8	1.1797	18.1695	2.3242e-06	1	1	1
loss	5	N11	2.54143	20.9528	6.9497e-06	1	1	1
loss	5	N57	1.23769	21.6483	3.76575	1	1	1
loss	5	S62	10.9645	10.9645	0	0	1	1
gain	6	N8	1.1797	18.1695	2.3242e-06	1	1	1
gain	7	N34	8.98493	31.3147	0.0598512	1	1	1
loss	8	N2	10.9645	10.9645	3.83315	1	1	1
loss	9	N7	0.355782	16.9898	1.17971	1	1	1
loss	9	S35	4.86344	20.8534	0	0	1	1
loss	9	N33	1.91913	22.3297	7.83853	1	1	1
loss	9	N58	1.86271	23.511	1.90304	1	1	1
gain	9	S5	2.41402	27.4497	0	0	1	1
gain	10	S28	5.29046	26.9388	0	0	1	1
gain	11	N34	8.98493	31.3147	0.0598512	1	1	1
loss	11	N48	0.137176	32.3099	0.226202	2	1	1
loss	12	S36	3.83315	14.7976	0	0	1	1
