# print count over countCutOffLow=0.1 to countCutOffHigh=0.9 with increment=0.05
POS	prob01	prob10	exp01	exp10	prob01_Rec	prob10_Rec	exp01_Rec	exp10_Rec	prob01_Anc	prob10_Anc	exp01_Anc	exp10_Anc	count01_0.1	count10_0.1	count01_0.15	count10_0.15	count01_0.2	count10_0.2	count01_0.25	count10_0.25	count01_0.3	count10_0.3	count01_0.35	count10_0.35	count01_0.4	count10_0.4	count01_0.45	count10_0.45	count01_0.5	count10_0.5	count01_0.55	count10_0.55	count01_0.6	count10_0.6	count01_0.65	count10_0.65	count01_0.7	count10_0.7	count01_0.75	count10_0.75	count01_0.8	count10_0.8	count01_0.85	count10_0.85	count01_0.9	count10_0.9	
1	1.537	0.7318	1.543	0.7353	0.5739	0.1691	0.5786	0.1695	0.963	0.5627	0.964	0.5658	2	2	2	1	2	1	2	1	2	1	2	1	2	1	2	0	2	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
2	1.18	0.2947	1.182	0.2991	1.084	0.1507	1.085	0.1529	0.09558	0.144	0.09655	0.1461	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
3	1.114	0.2558	1.122	0.2589	0.06542	0.1587	0.06589	0.1605	1.048	0.09713	1.056	0.09838	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
4	1.768	0.5491	1.774	0.5559	1.402	0.2776	1.404	0.2811	0.366	0.2715	0.3698	0.2748	3	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
5	2.016	3.381	2.048	3.4	0.9366	1.967	0.9481	1.98	1.079	1.413	1.1	1.42	4	6	2	6	2	4	2	4	2	4	2	3	2	2	2	2	2	2	2	2	2	2	1	2	0	1	0	1	0	1	0	1	0	1	
6	1.535	1.524	1.546	1.534	0.589	0.7664	0.5915	0.7731	0.9457	0.7572	0.9542	0.761	7	3	2	2	2	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1.114	0.2558	1.122	0.2589	0.06542	0.1587	0.06589	0.1605	1.048	0.09713	1.056	0.09838	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
8	0.9071	0.6637	0.9179	0.6701	0.6951	0.1355	0.7041	0.1363	0.212	0.5282	0.2138	0.5338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	3.376	4.344	3.408	4.378	2.053	2.066	2.064	2.09	1.323	2.277	1.344	2.288	9	12	7	10	4	6	4	6	4	4	4	4	3	4	2	3	1	3	1	2	1	1	1	0	1	0	1	0	1	0	1	0	1	0	
10	1.168	0.3234	1.173	0.3278	1.052	0.1508	1.056	0.153	0.1163	0.1726	0.1173	0.1748	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	
11	1.284	1.456	1.299	1.462	0.182	0.2712	0.1834	0.2753	1.102	1.184	1.116	1.187	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12	0.297	0.9614	0.2981	0.9622	0.1172	0.8784	0.1179	0.8787	0.1799	0.08304	0.1802	0.08345	2	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	
