# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	N2	0.1907	0.1907	0.06668	1	0.4027	0.4056
loss	1	S36	0.06668	0.2574	0	0	0.1063	0.1064
loss	1	N4	0.01035	0.2782	0.03792	1	0.09848	0.09848
gain	1	N10	0.05248	0.3203	0.04421	2	0.8705	0.871
gain	1	S62	0.1907	0.1907	0	0	0.5246	0.5292
loss	2	N2	0.1907	0.1907	0.06668	1	0.07806	0.07978
gain	2	S5	0.042	0.4775	0	0	0.9977	0.9984
loss	2	S62	0.1907	0.1907	0	0	0.08102	0.08284
loss	3	N2	0.1907	0.1907	0.06668	1	0.06033	0.06147
loss	3	S37	0.1364	0.5248	0	0	0.06104	0.06156
gain	3	N34	0.1563	0.5448	0.001041	1	0.9547	0.9617
loss	3	S62	0.1907	0.1907	0	0	0.0625	0.0637
gain	4	N2	0.1907	0.1907	0.06668	1	0.07385	0.07551
loss	4	N2	0.1907	0.1907	0.06668	1	0.09706	0.09942
gain	4	S36	0.06668	0.2574	0	0	0.05127	0.05144
loss	4	N3	0.07707	0.2678	0.04827	2	0.05024	0.05048
gain	4	S33	0.0005972	0.3173	0	0	0.9864	0.9864
gain	4	S35	0.08461	0.3628	0	0	0.06754	0.0679
gain	4	S37	0.1364	0.5248	0	0	0.1038	0.1052
gain	4	N34	0.1563	0.5448	0.001041	1	0.118	0.1199
loss	4	S62	0.1907	0.1907	0	0	0.1135	0.1164
gain	5	N2	0.1907	0.1907	0.06668	1	0.6334	0.6521
loss	5	N2	0.1907	0.1907	0.06668	1	0.06068	0.0618
gain	5	S36	0.06668	0.2574	0	0	0.06866	0.06894
loss	5	N8	0.02052	0.3161	4.043e-08	1	0.9824	0.9828
loss	5	N10	0.05248	0.3203	0.04421	2	0.662	0.6635
loss	5	N11	0.04421	0.3645	1.209e-07	1	0.3034	0.3039
loss	5	N32	0.03478	0.3551	0.08704	2	0.06572	0.0658
gain	5	N33	0.03339	0.3885	0.1364	1	0.1242	0.1243
gain	5	S37	0.1364	0.5248	0	0	0.6526	0.6626
gain	5	N34	0.1563	0.5448	0.001041	1	0.1161	0.1183
loss	5	N34	0.1563	0.5448	0.001041	1	0.1975	0.2014
loss	5	N57	0.02153	0.3766	0.06551	1	0.1721	0.1722
loss	5	S28	0.09204	0.4686	0	0	0.09797	0.09865
loss	5	N58	0.0324	0.409	0.03311	1	0.07653	0.0766
gain	5	S62	0.1907	0.1907	0	0	0.05561	0.05653
loss	5	S62	0.1907	0.1907	0	0	0.398	0.4086
gain	6	N2	0.1907	0.1907	0.06668	1	0.2481	0.2539
loss	6	N2	0.1907	0.1907	0.06668	1	0.08237	0.08427
loss	6	S36	0.06668	0.2574	0	0	0.07433	0.07459
gain	6	N3	0.07707	0.2678	0.04827	2	0.1326	0.1332
gain	6	N4	0.01035	0.2782	0.03792	1	0.1153	0.1153
gain	6	N5	0.0112	0.2894	0.02671	2	0.128	0.128
loss	6	N6	0.03407	0.3234	0.01408	1	0.07466	0.07473
gain	6	N7	0.006189	0.2956	0.02052	1	0.07219	0.07219
gain	6	N8	0.02052	0.3161	4.043e-08	1	0.2475	0.2476
loss	6	S34	0.03049	0.3261	0	0	0.07357	0.07362
loss	6	S35	0.08461	0.3628	0	0	0.1427	0.1435
loss	6	N10	0.05248	0.3203	0.04421	2	0.3838	0.3845
loss	6	N11	0.04421	0.3645	1.209e-07	1	0.06293	0.06303
gain	6	S37	0.1364	0.5248	0	0	0.1058	0.1072
gain	6	N34	0.1563	0.5448	0.001041	1	0.1203	0.1222
loss	6	N34	0.1563	0.5448	0.001041	1	0.0553	0.05616
loss	6	S62	0.1907	0.1907	0	0	0.2103	0.215
loss	7	N2	0.1907	0.1907	0.06668	1	0.06033	0.06147
loss	7	S37	0.1364	0.5248	0	0	0.06104	0.06156
gain	7	N34	0.1563	0.5448	0.001041	1	0.9547	0.9617
loss	7	S62	0.1907	0.1907	0	0	0.0625	0.0637
loss	8	N2	0.1907	0.1907	0.06668	1	0.4301	0.4353
gain	8	N34	0.1563	0.5448	0.001041	1	0.09533	0.09657
gain	8	S62	0.1907	0.1907	0	0	0.5909	0.5997
gain	9	N2	0.1907	0.1907	0.06668	1	0.4972	0.5146
loss	9	N2	0.1907	0.1907	0.06668	1	0.1	0.1023
gain	9	S36	0.06668	0.2574	0	0	0.1873	0.1882
loss	9	N3	0.07707	0.2678	0.04827	2	0.1487	0.1496
loss	9	N4	0.01035	0.2782	0.03792	1	0.09902	0.09903
gain	9	N6	0.03407	0.3234	0.01408	1	0.4049	0.4054
loss	9	N7	0.006189	0.2956	0.02052	1	0.4161	0.4161
loss	9	N8	0.02052	0.3161	4.043e-08	1	0.1768	0.1769
loss	9	S34	0.03049	0.3261	0	0	0.178	0.1782
loss	9	S35	0.08461	0.3628	0	0	0.6289	0.6333
gain	9	N10	0.05248	0.3203	0.04421	2	0.1277	0.1281
gain	9	N11	0.04421	0.3645	1.209e-07	1	0.1812	0.1816
loss	9	N32	0.03478	0.3551	0.08704	2	0.1684	0.1686
loss	9	N33	0.03339	0.3885	0.1364	1	0.1692	0.1694
