Node	State	ProbSum	Father	StateFather	ProbSumFather
S36	1	2.383	N2	1	3.177
S29	1	3.634	N6	1	3.643
S30	1	3.625	N6	1	3.643
N6	1	3.643	N5	1	3.273
S31	1	2	N9	1	2.014
S33	1	2.998	N9	1	2.014
N9	1	2.014	N8	1	2
S32	1	2	N8	1	2
N8	1	2	N7	1	2.917
S34	1	2.715	N7	1	2.917
N7	1	2.917	N5	1	3.273
N5	1	3.273	N4	1	3.191
S35	1	2.509	N4	1	3.191
N4	1	3.191	N3	1	3.246
S6	1	3	N19	1	3
S10	1	3	N20	1	3
S12	1	3	N20	1	3
N20	1	3	N19	1	3
N19	1	3	N18	1	3
S11	1	3	N18	1	3
N18	1	3	N17	1	3
S7	1	3	N17	1	3
N17	1	3	N16	1	3
S8	1	3	N21	1	3
S9	1	3	N21	1	3
N21	1	3	N16	1	3
N16	1	3	N15	1	3
S21	1	3	N24	1	3
S22	1	3	N24	1	3
N24	1	3	N23	1	3
S23	1	3	N25	1	3
S25	1	3	N26	1	3
S26	1	3	N27	1	3
S27	1	3	N27	1	3
N27	1	3	N26	1	3
N26	1	3	N25	1	3
N25	1	3	N23	1	3
N23	1	3	N22	1	3
S24	1	3	N22	1	3
N22	1	3	N15	1	3
N15	1	3	N14	1	3
S16	1	3	N30	1	3
S17	1	3	N30	1	3
N30	1	3	N29	1	3
S18	1	3	N31	1	3
S20	1	3	N31	1	3
N31	1	3	N29	1	3
N29	1	3	N28	1	3
S19	1	3	N28	1	3
N28	1	3	N14	1	3
N14	1	3	N13	1	3
S14	1	3	N13	1	3
N13	1	3	N12	1	3
S15	1	3	N12	1	3
N12	1	3	N11	1	3
S13	1	3	N11	1	3
N11	1	3	N10	1	3.183
S37	1	3.211	N33	1	3.138
S38	1	5.913	N43	1	5.913
S39	1	5.913	N43	1	5.913
N43	1	5.913	N42	1	5.913
S40	1	5.913	N44	1	5.913
S41	1	5.913	N46	1	5.913
S42	1	5.913	N46	1	5.913
N46	1	5.913	N45	1	5.913
S43	1	5.913	N45	1	5.913
N45	1	5.913	N44	1	5.913
N44	1	5.913	N42	1	5.913
N42	1	5.913	N41	1	5.913
S44	1	5.913	N41	1	5.913
N41	1	5.913	N40	1	5.913
S45	1	5.913	N47	1	5.913
S46	1	5.913	N47	1	5.913
N47	1	5.913	N40	1	5.913
N40	1	5.913	N39	1	5.913
S47	1	5.913	N39	1	5.913
N39	1	5.913	N38	1	5.904
S55	1	4.913	N49	1	4.914
S61	1	4.913	N49	1	4.914
N49	1	4.914	N48	1	4.916
S56	1	4.913	N53	1	4.913
S57	1	4.913	N53	1	4.913
N53	1	4.913	N52	1	4.913
S60	1	4.913	N52	1	4.913
N52	1	4.913	N51	1	4.913
S59	1	4.913	N51	1	4.913
N51	1	4.913	N50	1	4.913
S58	1	4.913	N50	1	4.913
N50	1	4.913	N48	1	4.916
N48	1	4.916	N38	1	5.904
N38	1	5.904	N37	1	5.914
S51	1	5.913	N37	1	5.914
N37	1	5.914	N36	1	5.914
S48	1	5.914	N54	1	5.914
S49	1	5.914	N56	1	5.914
S50	1	5.914	N56	1	5.914
N56	1	5.914	N55	1	5.914
S54	1	5.913	N55	1	5.914
N55	1	5.914	N54	1	5.914
N54	1	5.914	N36	1	5.914
N36	1	5.914	N35	1	5.914
S52	1	5.914	N35	1	5.914
N35	1	5.914	N34	1	5.914
S53	1	5.914	N34	1	5.914
N34	1	5.914	N33	1	3.138
N33	1	3.138	N32	1	2.985
S28	1	4.071	N57	1	2.758
S4	1	2	N58	1	2.081
S3	1	2	N59	1	2.016
S5	1	4	N60	1	2.02
S1	1	2	N61	1	2.001
S2	1	2	N61	1	2.001
N61	1	2.001	N60	1	2.02
N60	1	2.02	N59	1	2.016
N59	1	2.016	N58	1	2.081
N58	1	2.081	N57	1	2.758
N57	1	2.758	N32	1	2.985
N32	1	2.985	N10	1	3.183
N10	1	3.183	N3	1	3.246
N3	1	3.246	N2	1	3.177
N2	1	3.177	N1	1	3.055
S62	1	3.281	N1	1	3.055
N1	1	3.055	NoFather2Root	NA	NA
